id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
li-4154576918,linkedin,https://www.linkedin.com/jobs/view/4154576918,,Relai Régional Administration Des Ventes (ADV) H/F,SOCOTEC,"Guyancourt, Île-de-France, France",2025-02-19,fulltime,,,,,,,not applicable,Administrative,,,"**Description Du Poste**
 Sous la responsabilité de la
 **Responsable Administration des Ventes** 
 , idéalement basé à
 **Guyancourt (78\\)** 
 , en tant que
 **Relai Régional Administration Des Ventes (ADV) H/F** 
 , vous participez au déploiement de la stratégie nationale des objectifs ADV.
   

  

**Vous pilotez les indicateurs de performance en lien avec les litiges commerciaux et administratifs de la région de votre périmètre (** 
 Pôles centraux \\& nationaux ).Vous
 **mettez en place les plans d’actions locaux nécessaires à l’atteinte des objectifs fixés par son Manager National ADV. Vous animez les équipes administratives spécialisées en ADV, garantissez la maîtrise et le respect des règles de gestion.**
 Vos responsabilités sont les suivantes :
   

  

**Animer les équipes administratives spécialisées en ADV**
* Accompagner les équipes administratives sur les process et outils (formation, sensibilisation, bonnes pratiques)
* Piloter une animation régulière des équipes administratives
* Contribuer à l’échange du savoir faire en se déplaçant ponctuellement dans les agences afin d’être au contact, de soutenir et de partager les bonnes pratiques des équipes administratives locales
* Piloter la charge de travail des équipes administratives.


**Être garant de la performance régionale ADV**
* Veiller à la performance régionale de l’Administration Des Ventes et à son amélioration continue.
* Former et piloter au quotidien les équipes administratives spécialisées en ADV sur les thèmes suivants :
* Administration de la base clients
* Saisie des commandes
* Formalisme des factures et rythme mensuel de facturation
* Transmission des factures via les plateformes clients dématérialisées
* Correction des factures en litiges commercial ou administratif
* Veiller au quotidien au respect des Indicateurs Clés de Performance (KPI) confiés par votre Manager National et lui rendre mensuellement compte de leur atteinte.


**S’assurer de la performance régionale ADV à l’aide d’audits ponctuels**
* Mettre en place des audits ponctuels dans sa région afin d’évaluer les objectifs de performance fixés
* Met en place un ou des Plans d’Actions sur la base des résultats d’audits.


**Organise et anime des plans régionaux selon les besoins**
* Pilote la mise en place ponctuelle d’équipe locale en mode “Task Force” lorsque c’est nécessaire
* Donne des objectifs chiffrés temporels aux équipes administratives spécialisées en ADV
* Participe à la production des tâches administratives ADV en mode Task Force
* Assure un suivi hebdomadaire des résultats des équipes aux plans régionaux.


**Participe à l'évolution des processus ADV**
* Sous la responsabilité du Manager National, participe à la rédaction de toutes les procédures internes ADV
* Collecte les remontées terrain et est force de proposition au manager en matière d’amélioration continue des process.


**Participe à la production des tâches administratives ADV au niveau régional**
* Contribue à la production des tâches d’Assistante ADV au quotidien au même titre que les équipes administratives spécialisées en ADV.


**Qualifications**
 De Formation Bac / Bac\\+2, vous avez une expérience similaire en ayant atteint les objectifs précisés.
   

  

**Vous maitrisez idéalement** 
 l’outil Atlas, et connaissez les différents métiers de la BU Construction et Immobilier. Vous connaissez des techniques d’animation de groupe, Excel et Power Point, connaissez les plateformes de dépôts de factures, etc.
   

  

 Expérience comme assistant polyvalent, avec une composante significative en gestion et/ou en utilisation de progiciel de gestion intégré (ERP)
   

  

**Savoir\\-être :** 
 Sens de l’initiative, réactivité, rigueur, volontaire, pédagogue, s’adaptant à son interlocuteur, assertivité, management fonctionnel, agilité
   

  

 Bac avec expérience ou Bac \\+2 (BTS assistanat, gestion, etc).",Environmental Services,https://fr.linkedin.com/company/socotec,https://media.licdn.com/dms/image/v2/C560BAQGf8uzRAAZS5w/company-logo_100_100/company-logo_100_100/0/1631333589236?e=2147483647&v=beta&t=a4J3QjOv68M_7HGX654MC29EiGKNdVZn0V2jFJK8jcw,,,,,
li-4158453884,linkedin,https://www.linkedin.com/jobs/view/4158453884,https://www.mbda-systems.com/country-fr/careers/responsable-ethique-et-conformite-fh&urlHash=imfO,Responsable éthique et conformité F/H,MBDA,"Le Plessis-Robinson, Île-de-France, France",2025-02-19,fulltime,,,,,,,mid-senior level,Legal,,,"Chez MBDA, le sens de notre mission est ce qui nous unit : contribuer à la souveraineté des nations et préserver notre sécurité et notre liberté en Europe. Pour y parvenir, la collaboration et la confiance sont essentielles. MBDA doit relever des défis uniques pour répondre aux besoins des forces armées face à de nouvelles menaces. Motivés par les challenges technologiques, nous repoussons les limites de l’innovation, de la science et de la technologie pour développer des solutions au meilleur niveau.
   

  

 Nous encourageons le dépassement de soi dans un environnement unique qui offre des opportunités à chacun d’entre nous. Ensemble, nous sommes fiers du rôle que nous jouons.
   

  

 Votre environnement de travail
   

  

 Dans un environnement national, international, multiculturel et multidisciplinaire, au sein de l'entité Éthique, Conformité et Responsabilité sociétale (ECR) de MBDA France, vous participez au déploiement et à la mise à jour du programme de conformité anti\\-corruption de MBDA France.
   

  

 Au cœur des enjeux réglementaires de la Loi Sapin II, vous apportez votre connaissance des dispositifs permettant son application au sein de notre entreprise. Vous travaillez sur des dossiers complexes et jouez un vrai rôle support auprès de votre responsable. Vous rejoignez une équipe dynamique et en constante évolution.
   

  

 Votre quotidien
   

  

 En coordination avec les responsables commerciaux de votre périmètre et en liaison avec les entités MBDA concernées, vos missions sont :
   

  

* Participer au déploiement et à la mise à jour du programme de conformité anticorruption,
* Evaluation des tiers,
* Sur le périmètre Middle East/Africa, analyse des dossiers liés aux offsets et coopérations industrielles et des cadeaux et invitations, des parrainages et des dons,
* La communication au Responsable ECR des alertes identifiées lors des analyses de dossiers avec des propositions de diminution des risques,
* Participation aux contrôles financiers et non\\-financiers dans votre périmètre,
* La gestion du réseau des ambassadeurs éthique et conformité : déploiement, animation, suivi,
* La supervision des filiales de MBDA France : suivi des actions (cartographie des risques, déploiement d’un programme de conformité anti\\-corruption adapté, instructions des contrôles à mener par les filiales, audits, formations) menées par les compliance managers en charge des filiales,
* La participation à la mise à jour continue du questionnaire AFA.


 Vos missions comprennent également des volets formation, amélioration continue et audit :
   

  

* Contribution à la préparation et à la réalisation des sessions de formation aux procédures du programme de conformité anti\\-corruption,
* Participation à des actions de communication,
* Suivi de l'évolution du contexte règlementaire applicable à votre périmètre,
* Amélioration et mise en œuvre des politiques et procédures éthique et conformité,
* Préparation et support aux audits internes et externes.


 Les \\+ de l'offre
   

  

* Etre au cœur des enjeux réglementaires de la Loi Sapin II,
* apporter votre connaissance des dispositifs permettant son application au sein d’un secteur d’activité sensible,
* travailler sur des dossiers complexes,
* jouer un vrai rôle support auprès de votre responsable.
* rejoindre une équipe dynamique et en constante évolution.


 Votre profil
   

  

 Titulaire d’un 3ème cycle en droit pénal des affaires, vous avez une expérience de 5/10 ans en direction conformité ou en direction juridique acquise dans un environnement international.
   

  

 Vous faites preuve d’autonomie, de pédagogie, de qualités rédactionnelles, de leadership et de rigueur. Une expérience en cabinet d'avocats serait un plus.
   

  

 Aisance relationnelle
   

  

 Autonomie
   

  

 Adaptabilité
   

  

 Esprit d'analyse
   

  

 Esprit d'équipe
   

  

 Pragmatisme
   

  

 Rigueur
   

  

 Rétributions et avantages
   

  

 Notre rémunération comporte un salaire fixe et des éléments additionnels individuels (une part variable pour nos salariés cadres et une prime d’ancienneté ainsi qu’une prime annuelle pour nos salariés non\\-cadres) ou collectifs dépendant de la performance et des résultats de l’entreprise (participation, intéressement).
   

  

 De nombreux services/avantages sont également proposés : restaurant d’entreprise, épargne salariale (PEG, PERCOL), protection sociale (mutuelle et prévoyance), comité social et économique, infirmerie et service de santé au travail interne...
   

  

 Le site
   

  

 Le Plessis\\-Robinson (92\\)
   

  

 1 Av. Réaumur
   

  

 92350 Le Plessis Robinson
   

  

 France
   

  

 Le site du Plessis\\-Robinson, siège social de l'entreprise, rassemble principalement nos activités de R\\&D et la gestion des programmes. Nos collaborateurs y conçoivent et développent les systèmes de missiles de demain.
   

  

 Accès au site
   

  

 Bus : 290 \\- 395
   

  

 Tramway : T6 \\- Pavé Blanc
   

  

 Tramway : T10 \\- Noveos
   

  

 Parking
   

  

 Navette
   

  

 Parc à vélos",Defense and Space Manufacturing,https://fr.linkedin.com/company/mbda,https://media.licdn.com/dms/image/v2/D4E0BAQG_7EWVLycaKg/company-logo_100_100/company-logo_100_100/0/1682598394304/mbda_logo?e=2147483647&v=beta&t=PviyEhJ42y5185qc80XEE-iG8BF9TIFJ3UChKWHSeKU,,,,,
li-4158197900,linkedin,https://www.linkedin.com/jobs/view/4158197900,https://www.socotec.fr/poste/relai-regional-administration-des-ventes-adv-hf-guyancourt&urlHash=-Po9,Relai Régional Administration Des Ventes (ADV) H/F Guyancourt,SOCOTEC MAROC,"Guyancourt, Île-de-France, France",2025-02-19,fulltime,,,,,,,mid-senior level,Sales and Business Development,,,"Description de l'entreprise
   

  

 Rejoindre SOCOTEC, c’est faire partie d’une communauté de 10000 experts basés dans 25 ( pays, tous prêts à relever les challenges dans le domaine du Testing, de l’Inspection et de la Certification (TIC) dans la construction, les infrastructures et l'industrie.
   

  

 SOCOTEC soutient et accélère la transformation du secteur et œuvre à la construction de la ville du futur.
   

  

 Rejoindre Nos Équipes, C’est Choisir Un Métier, Celui Du Conseil Technique Et De La Maîtrise Des Risques Dans La Construction Et L'Immobilier. C’est Aussi Rejoindre Un Environnement De Travail Responsabilisant, Innovant Et Stimulant Avec
   

  

* les meilleurs outils et formations du marché,
* une forte autonomie dans laquelle l’initiative est récompensée,
* un cadre encourageant l’évolution professionnelle


 Les équipes Construction \\& Immobilier aident l'ensemble des parties prenantes à chaque étape du cycle de vie de la construction jusqu’au décommissionnement ou la rénovation. Nous intervenons en contrôle technique des bâtiments et des infrastructures, en prévention sécurité, en diagnostic immobilier ou en assistance à maîtrise d’ouvrage, dans des domaines aussi variés que l’acoustique, l’énergie, le développement durable, l'amiante, la sécurité incendie ou l’accessibilité aux personnes en situation de handicap. Nous conseillons par ailleurs les propriétaires ou gestionnaires d’actifs immobiliers dans leurs démarches de conservation ou de valorisation de leur patrimoine bati.
   

  

 Description du poste
   

  

 Sous la responsabilité de la
 **Responsable Administration des Ventes** 
 , idéalement basé à
 **Guyancourt (78\\)** 
 , en tant que
 **Relai Régional Administration Des Ventes (ADV) H/F** 
 , vous participez au déploiement de la stratégie nationale des objectifs ADV.
   

  

**Vous pilotez les indicateurs de performance en lien avec les litiges commerciaux et administratifs de la région de votre périmètre (** 
 Pôles centraux \\& nationaux ).Vous
 **mettez en place les plans d’actions locaux nécessaires à l’atteinte des objectifs fixés par son Manager National ADV. Vous animez les équipes administratives spécialisées en ADV, garantissez la maîtrise et le respect des règles de gestion.**
**Vos Responsabilités Sont Les Suivantes**
**Animer les équipes administratives spécialisées en ADV**
* Accompagner les équipes administratives sur les process et outils (formation, sensibilisation, bonnes pratiques)
* Piloter une animation régulière des équipes administratives
* Contribuer à l’échange du savoir faire en se déplaçant ponctuellement dans les agences afin d’être au contact, de soutenir et de partager les bonnes pratiques des équipes administratives locales
* Piloter la charge de travail des équipes administratives.


**Être garant de la performance régionale ADV**
* Veiller à la performance régionale de l’Administration Des Ventes et à son amélioration continue.
* Former et piloter au quotidien les équipes administratives spécialisées en ADV sur les thèmes suivants :
* Administration de la base clients
* Saisie des commandes
* Formalisme des factures et rythme mensuel de facturation
* Transmission des factures via les plateformes clients dématérialisées
* Correction des factures en litiges commercial ou administratif
* Veiller au quotidien au respect des Indicateurs Clés de Performance (KPI) confiés par votre Manager National et lui rendre mensuellement compte de leur atteinte.


**S’assurer de la performance régionale ADV à l’aide d’audits ponctuels**
* Mettre en place des audits ponctuels dans sa région afin d’évaluer les objectifs de performance fixés
* Met en place un ou des Plans d’Actions sur la base des résultats d’audits.


**Organise et anime des plans régionaux selon les besoins**
* Pilote la mise en place ponctuelle d’équipe locale en mode “Task Force” lorsque c’est nécessaire
* Donne des objectifs chiffrés temporels aux équipes administratives spécialisées en ADV
* Participe à la production des tâches administratives ADV en mode Task Force
* Assure un suivi hebdomadaire des résultats des équipes aux plans régionaux.


**Participe à l'évolution des processus ADV**
* Sous la responsabilité du Manager National, participe à la rédaction de toutes les procédures internes ADV
* Collecte les remontées terrain et est force de proposition au manager en matière d’amélioration continue des process.


**Participe à la production des tâches administratives ADV au niveau régional**
* Contribue à la production des tâches d’Assistante ADV au quotidien au même titre que les équipes administratives spécialisées en ADV.


**Qualifications**
 De Formation Bac / Bac\\+2, vous avez une expérience similaire en ayant atteint les objectifs précisés.
   

  

**Vous maitrisez idéalement** 
 l’outil Atlas, et connaissez les différents métiers de la BU Construction et Immobilier. Vous connaissez des techniques d’animation de groupe, Excel et Power Point, connaissez les plateformes de dépôts de factures, etc.
   

  

 Expérience comme assistant polyvalent, avec une composante significative en gestion et/ou en utilisation de progiciel de gestion intégré (ERP)
   

  

**Savoir\\-être :** 
 Sens de l’initiative, réactivité, rigueur, volontaire, pédagogue, s’adaptant à son interlocuteur, assertivité, management fonctionnel, agilité
   

  

 Bac avec expérience ou Bac \\+2 (BTS assistanat, gestion, etc).
   

  

 Informations supplémentaires
   

  

**Socotec s’engage à vous faire travailler dans les meilleures conditions, pour se faire nous mettons à votre :**
* Une rémunération attractive
* De vraies perspectives d’évolutions au sein du groupe
* Une facilité de travail grâce au développement de la digitalisation
* Un accompagnement de qualité afin de garantir votre réussite au sein de Socotec .


 Engagé en faveur de l'égalité des chances, SOCOTEC France vous informe que ce poste est ouvert, à compétences égales, aux candidatures de personnes en situation de handicap.",Environmental Services,https://ma.linkedin.com/company/socotec-maroc,https://media.licdn.com/dms/image/v2/D4E0BAQGYGBnRfgrNWA/company-logo_100_100/company-logo_100_100/0/1728557567005/socotec_maroc_logo?e=2147483647&v=beta&t=wBUmoypB6WUBqzI8fPzrydlm1UN3YkOJAKtb6fD0PoY,,,,,
li-4154028515,linkedin,https://www.linkedin.com/jobs/view/4154028515,https://www.careers.axapartners.com/fr/fr/job/AXPAGLOBAL250000G2YESTALEOFREXTERNALFRFR/Assistant-e-Executif-ve-Chief-of-Staff-Risk-Technical-F-H?utm_source=linkedin&utm_medium=phenom-feeds&urlHash=hdpB,Assistant(e) Executif(ve) / Chief of Staff - Risk & Technical F/H,AXA Partners,"Malakoff, Île-de-France, France",2025-02-19,fulltime,,,,,,,mid-senior level,Administrative,,,"*RÉSUMÉ DU POSTE*
 Dans un contexte d'exécution et de transformation opérationnelles complexes et multi\\-pays, ce poste est essentiel pour aider le Chief Risk and Technical Officer à gérer et à maximiser les performances de la fonction Risk Management \\& TEX \\& Security conformément à notre stratégie SCALE UP, dans le respect des délais, des coûts et de la qualité.
   

  

*DIMENSION DU POSTE*
 Le titulaire de ce poste apporte un soutien essentiel à la responsable en chef des risques et de la technique en travaillant en étroite collaboration avec elle sur les activités quotidiennes, en gérant certaines initiatives clés et en assurant une communication et une coordination efficaces entre les équipes et avec les différents départements. L'EA assure la liaison entre le dirigeant et les autres membres de l'équipe, aide à hiérarchiser et à piloter les projets importants et veille à ce que la fonction fonctionne conformément aux attentes en matière de coûts (respect des budgets, trajectoire des ETP par rapport au plan stratégique). Il joue un rôle essentiel dans la rationalisation des opérations, le pilotage des priorités organisationnelles et le soutien de l'efficacité globale de l'équipe dirigeante de la fonction.
   

  

*MISSIONS PRINCIPALES*
**Soutien à la direction**
* En partenariat avec l'assistant personnel, anticiper les besoins du chef de service : veiller à ce que le contenu de toutes les réunions soit préparé, que les communications soient rédigées, que les priorités soient hiérarchisées et gérées, que les documents soient stockés et archivés.
* Coordonner et gérer la gouvernance de l'équipe, y compris la préparation des ordres du jour, les présentations, l'enregistrement et le suivi des actions, le suivi et la surveillance de la réalisation des objectifs, la transmission des informations, la coordination des demandes d'information et tout autre soutien nécessaire.
* Veiller à ce que les réunions se déroulent de manière efficace en termes de contenu, de calendrier et de résultats.
* En collaboration avec l'équipe de direction, préparer des notes et des présentations stratégiques ou opérationnelles pour différents publics : SLT fonctionnel, anticiper et revoir les documents présentés au Comité Exécutif d'AXA Partners ; collaborer étroitement avec les équipes sur des sujets d'intérêt commun afin d'assurer une préparation efficace des réunions et du matériel de présentation.
* S'assurer que les décisions prises sont suivies et mises en œuvre efficacement et que toutes les parties prenantes sont tenues informées des décisions et des actions en temps voulu.
* Fournir régulièrement des idées sur les moyens de clarifier la gouvernance et d'améliorer l'efficacité de la fonction.
* Représenter la cheffe de la fonction dans les réunions si nécessaire.


**Finances**
* Assurer une ambition adéquate en fonction des investissements et contrôler l'exécution et les performances.
* Coordonner les calendriers de l'exercice du plan stratégique et de l'élaboration du budget de la fonction avec les RH et les finances.


 Coordonner le calendrier des budgets, des objectifs, des prévisions et du suivi du plan stratégique, en collaboration avec tous les subordonnés directs, les RH et les finances.
   

  

**Communication**
* Élaborer et mettre en œuvre le plan de communication de Risk Management \\& TEX \\& Security en collaboration avec les dirigeants et d'autres parties prenantes clés telles que le HRBP mondial, les équipes de transformation et de changement, les équipes de communication, la direction locale et les champions.
* Soutenir la cheffe de Risk Management \\&TEX \\& Security dans la communication avec les équipes à travers le monde par le biais de canaux multiples.
* Organiser les réunions hors site de la direction en collaboration avec les RH, les réunions publiques, les séminaires et les événements afin de garantir une approche de communication forte de la part de la direction.
* Contribuer à améliorer la communication sur notre transformation et nos activités commerciales.
* Maintenir à jour l'organigramme de la fonction.


 Ce rôle est flexible et peut évoluer pour couvrir un large éventail de sujets en fonction des besoins de l'organisation.
   

  

 Le titulaire du poste soutiendra la responsable Risk Management \\&TEX \\& Security dans ses relations avec les parties prenantes du Groupe AXA (GRM, GUO, Group Security...).
   

  

 Relations de travail :
   

  

* SLT RM \\&TEX \\& Sécurité
* Communauté RM \\&TEX \\& Sécurité
* Équipes RM \\&TEX \\& Sécurité
* Excom d'AXA Partners, chef de cabinet du PDG d'AXA Partners
* Communauté EA/PA
* Équipe de transformation
* Fonctions de support dédiées à la BU (Finance, RH, Juridique, Conformité, IT, Communication)
* Directeurs de pays
* Équipes des fonctions centrales
* Diverses parties prenantes du groupe


**Votre Profil**
*PROFIL RECHERCHE*
* Compétences en communication très efficaces, avec la capacité de s'adapter aux cultures et aux contextes locaux
* Niveau avancé d'analyse et de synthèse
* Bonne compréhension de la gestion du changement
* Expérience du travail à l'échelle internationale avec de multiples fonctions dans une organisation matricielle
* Capacité à travailler à un rythme soutenu dans un environnement ambigu et en évolution rapide
* Esprit de collaboration et capacité à s'adapter à plusieurs styles de leadership tout en garantissant l'impact
* Capacité à travailler avec des équipes sans autorité hiérarchique grâce à de solides compétences en matière d'influence
* Orientation vers la réalisation de projets, avec la capacité d'apprendre et d'adopter une amélioration continue des processus et de l'approche de la mise en œuvre
* Pragmatisme et capacité à opérer à un niveau stratégique global ainsi qu'avec une approche pratique et détaillée
* Transparence et ouverture dans le style de travail, avec le courage de remettre en question et de faire des observations difficiles pour contribuer au succès de l'unité opérationnelle
* Esprit proactif, anticipation des besoins et des actions
* Recherche de l'excellence
* Profonde écoute et humilité
* Sens profond de la confidentialité
* Anglais courant ou bilingue, le français est un atout sans être une obligation, les autres langues des partenaires d'AXA sont des atouts pour ce poste.


**A propos d'AXA**
 Le Groupe AXA est un leader mondial de l’assurance et de la gestion d’actifs, avec 160 000 collaborateurs au service de 105 millions de clients dans 62 pays.
   

  

 Nous protégeons et conseillons nos clients à chaque étape de leur vie, en proposant des produits et services qui répondent à leurs besoins dans les domaines de l'assurance, de la prévoyance, de l'épargne et de la gestion des actifs.
   

  

 Notre mission: Donner à chacun les moyens de vivre une vie meilleure.
   

  

 Nos valeurs: Customer first, Intégrité, Courage et One AXA
   

  

**A propos de notre entité**
 AXA Partners est une BU transversale d’AXA qui propose une large gamme de solutions en matière de services d’assistance, d’assurance voyage et de couverture de crédit.
   

  

 Le rôle d’AXA Partners est aussi de mettre en œuvre des solutions innovantes issues de l’unité AXA Innovation.
   

  

 Conjuguant passion et expertises de pointe, nous concevons et déployons des solutions à l'échelle mondiale pour nos partenaires, leurs clients et leurs collaborateurs, pour protéger ce qui compte dans les moments importants.
   

  

**Pourquoi nous rejoindre ?**
 En rejoignant AXA Partners, vous travaillerez dans une entreprise responsable qui offre une véritable culture d'expertise et de diversité. Notre objectif est d'accélérer le développement des compétences de nos collaborateurs, tout en proposant une rémunération attractive et compétitive ainsi que des opportunités d’évolution professionnelle. Au sein du Groupe AXA, nous œuvrons tous ensemble pour donner à chacun les moyens de vivre une vie meilleure et c’est une fierté extraordinaire.
   

  

**250000G2**",Insurance,https://fr.linkedin.com/company/axa-partners,https://media.licdn.com/dms/image/v2/D4E0BAQFOuU26QRrq0g/company-logo_100_100/company-logo_100_100/0/1720081382011/axa_partners_logo?e=2147483647&v=beta&t=ZwL9krvctOZ76Y8shLtLeiQL8Ej9p_a3iyj_rJjQsUU,,,,,
li-4158456644,linkedin,https://www.linkedin.com/jobs/view/4158456644,https://www.mbda-systems.com/country-fr/careers/chef-de-projet-transformation-sirh-fh&urlHash=mIxu,Chef de projet transformation SIRH F/H,MBDA,"Le Plessis-Robinson, Île-de-France, France",2025-02-19,fulltime,,,,,,,director,Project Management and Information Technology,,,"Chez MBDA, le sens de notre mission est ce qui nous unit : contribuer à la souveraineté des nations et préserver notre sécurité et notre liberté en Europe. Pour y parvenir, la collaboration et la confiance sont essentielles. MBDA doit relever des défis uniques pour répondre aux besoins des forces armées face à de nouvelles menaces. Motivés par les challenges technologiques, nous repoussons les limites de l’innovation, de la science et de la technologie pour développer des solutions au meilleur niveau.
   

  

 Nous encourageons le dépassement de soi dans un environnement unique qui offre des opportunités à chacun d’entre nous. Ensemble, nous sommes fiers du rôle que nous jouons.
   

  

 Votre environnement de travail
   

  

 L’entité globale SIRH a vocation
 **à définir, à accompagner et à implémenter les évolutions de processus RH** 
 pour chaque filiale du groupe.
   

  

 Le Responsable transformation SIRH joue un rôle essentiel au sein de l’équipe SIRH groupe
 **en dirigeant et en coordonnant le déploiement de nouvelles technologies, de nouveaux projets et processus RH** 
 en soutien à toutes nos filiales basées en Allemagne, en UK, en Italie et en Espagne.
   

  

 Votre quotidien
   

  

 Rattaché(e) au Directeur E\\-HR group, il
 **agit comme un agent de liaison entre les RH opérationnelles présentes dans les pays et les équipes e\\-HR** 
 afin de
 **garantir une définition et un déploiement réussis des changements et des fonctionnalités de nos systèmes.**
 Ce rôle est essentiel dans le développement et la direction de toutes les activités de formation et de communication visant à soutenir le déploiement à l'échelle de l'entreprise de processus RH communs et locaux,
 **principalement au sein de notre solution Workday** 
 , en utilisant des méthodologies éprouvées de
 **gestion du changement.**
 Les missions proposées sont :
   

  

* Diriger les projets de transformation en déterminant les priorités et en anticipant les impacts des changements liés au déploiement d'une nouvelle solution Workday afin de les réduire au maximum.
* Participer au développement de nouvelles méthodes de travail commune au sein de MBDA group.
* Etre membre actif de l'équipe pour les projets dans le domaine e\\-RH et participant aux groupes de travail spécifiques qui concernent les évolutions de système et de processus SIRH.
* Interagir en étroite collaboration avec les principales parties prenantes pour comprendre leurs besoins et garantir qu'ils sont reflétés dans les systèmes et les processus dans le cadre d'une amélioration continue.
* Mettre en place et superviser le contenu et le déploiement des formations internes de Workday auprès des E HR manager group, afin de garantir que tous les utilisateurs sont capables d'utiliser le système et d’adopter la solution.
* Participer au développement de contenus en collaborant avec l'équipe e\\-HR pour développer des nouveaux contenus d'apprentissage et de supports pour les fonctionnalités actuelles de la solution et celles à venir.


 Ces missions ne sont pas limitatives.
   

  

 Les \\+ de l'offre
   

  

* Définition et mise en oeuvre de projets de transformation
* Contexte international
* Multiples intéractions en interne et en externe


 Votre profil
   

  

 De formation supérieure (Bac\\+5\\) en Ressources Humaines, Management ou IT, vous disposez d’une expérience
 **de 10 ans minimum la mise en œuvre de projet de transformation incluant les processus SIRH** 
 , impérativement dans un
 **contexte international.**
 Vous démontrez une connaissance des principes de base de la formation. Votre sens de la communication et votre leadership vous permettent d’être reconnu (e) comme un interlocuteur (trice) fiable, engagée au service de l’atteinte de la performance collective.
   

  

 Ce poste étant à dimension internationale avec un management anglophone, la
 **pratique de l’anglais courant est impérative.** 
 Des déplacements ponctuels sont à prévoir au sein des filiales du groupe en Europe.
   

  

 Animation d'équipe
   

  

 Aptitude à motiver
   

  

 Aisance relationnelle
   

  

 Curiosité
   

  

 Diplomatie
   

  

 Dynamisme
   

  

 Rétributions et avantages
   

  

 Notre rémunération comporte un salaire fixe et des éléments additionnels individuels (une part variable pour nos salariés cadres et une prime d’ancienneté ainsi qu’une prime annuelle pour nos salariés non\\-cadres) ou collectifs dépendant de la performance et des résultats de l’entreprise (participation, intéressement).
   

  

 De nombreux services/avantages sont également proposés : restaurant d’entreprise, épargne salariale (PEG, PERCOL), protection sociale (mutuelle et prévoyance), comité social et économique, infirmerie et service de santé au travail interne...
   

  

 Le site
   

  

 Le Plessis\\-Robinson (92\\)
   

  

 1 Av. Réaumur
   

  

 92350 Le Plessis Robinson
   

  

 France
   

  

 Le site du Plessis\\-Robinson, siège social de l'entreprise, rassemble principalement nos activités de R\\&D et la gestion des programmes. Nos collaborateurs y conçoivent et développent les systèmes de missiles de demain.
   

  

 Accès au site
   

  

 Bus : 290 \\- 395
   

  

 Tramway : T6 \\- Pavé Blanc
   

  

 Tramway : T10 \\- Noveos
   

  

 Parking
   

  

 Navette
   

  

 Parc à vélos",Defense and Space Manufacturing,https://fr.linkedin.com/company/mbda,https://media.licdn.com/dms/image/v2/D4E0BAQG_7EWVLycaKg/company-logo_100_100/company-logo_100_100/0/1682598394304/mbda_logo?e=2147483647&v=beta&t=PviyEhJ42y5185qc80XEE-iG8BF9TIFJ3UChKWHSeKU,,,,,
