id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
li-4127284494,linkedin,https://www.linkedin.com/jobs/view/4127284494,https://careers.shiseido.com/job/Paris-ASSISTANT-CHEF-DE-PROJET-DIGITAL-SHISEIDO-GROUP-HF-J/1161604501/&urlHash=e_9c,ASSISTANT CHEF DE PROJET DIGITAL - SHISEIDO GROUP H/F,Shiseido,"Paris, Île-de-France, France",2025-02-14,fulltime,,,,,,,internship,Project Management and Information Technology,,,"**ASSISTANT CHEF DE PROJET DIGITAL – SHISEIDO GROUP H/F**
**Stage (6 mois) – Juillet 2025 – Paris 8ème**
**QUI SOMMES\\-NOUS ?**
**Reconnue comme la première entreprise de cosmétiques fondée au Japon, et aujourd’hui classée au 5ème rang mondial des groupes de beauté, Shiseido incarne l’excellence absolue dans le domaine des soins, du maquillage et des parfums. L’entreprise a été fondée en 1872 et vient de fêter ses 150 ans.**
**Concevant des produits toujours plus innovants et modernes, les marques du Groupe sont aujourd’hui distribuées dans plus de 120 pays et régions. Shiseido emploie environ 36 000 collaborateurs de près de 100 nationalités et a généré un chiffre d’affaires de 6,7 milliards d’euros en 2023\\.**
**Guidés par la mission « Beauty Innovations for a Better World », les collaborateurs de Shiseido sont animés par des valeurs qui illustrent son héritage unique : « People First », « Diversity », « Art \\& Science », « Japanese », « Uncompromising Quality » et « Omotenashi ».
   

  

 Shiseido EMEA, basé à Paris, couvre les activités mondiales des marques de parfum Issey Miyake, Narciso Rodriguez, Serge Lutens, Shiseido Fragrances, et Zadig\\&Voltaire et des marques de soin Ulé et Gallinée; ainsi que les activités et la distribution régionales de plusieurs marques du Groupe : Clé de Peau Beauté, Drunk Elephant, NARS, Shiseido Ginza Tokyo et Tory Burch.**
**CONTEXTE**
 Au sein du Marché France et de la direction Digital, vous travaillerez sur les sujets e\\-retail, retail media et data consumers pour les marques du groupe Shiseido.
   

  

 Vous accompagnerez la cheffe de projet digital dans ses actions et aurez une vision globale de la stratégie marketing et commerciale.
   

  

**MISSIONS PRINCIPALES**
* Manager les plans d’animation online
* Assurer la bonne exécution des lancements (référencement, mise à disposition des assets, etc)
* Assurer la mise en place et le suivi des opérations E\\-trade avec les enseignes (moyens moteurs, mécanique des offres)
* Suivi des projets créatifs en collaboration avec les équipes internes ou des agences externes (landing pages, ad banners,…)
* Suivi et analyse des campagnes Retail Media
* Gestion des campagnes CRM Retail
* Analyse marché et benchmark concurrence
* Aide à la préparation de présentations internes ou clients
* Possibilité de mener des projets digitaux transverses


**Contacts Réguliers**
* Equipe Marketing, Trade, Commerciale FR
* Equipe E\\-retail EMEA
* Retailers FR


**PROFIL RECHERCHE**
 Nous recherchons une personne orientée digital et analyse. Dynamique, curieuse avec un fort esprit d’équipe, vous aimez apporter des solutions, communiquer et partager vos idées, dans un esprit collaboratif. Le sens de la rigueur et de l’organisation sont indispensables pour la bonne réussite de ce stage.
   

  

 Une bonne maitrise de l’anglais (oral et écrit) et du Pack Office sera demandée.
   

  

 Une première expérience significative dans un environnement digital est un plus
   

  

*Rejoignez\\-nous pour un stage de 6 mois à partir de juillet 2025 !*",Personal Care Product Manufacturing,https://jp.linkedin.com/company/shiseido,https://media.licdn.com/dms/image/v2/C560BAQFDXtBmBcOPCg/company-logo_100_100/company-logo_100_100/0/1630616549267/shiseido_logo?e=2147483647&v=beta&t=LRpTDHe1blXuaoZouUNSUCu_0KvT0WNqvzfy75H6izc,,,,,
li-4152000126,linkedin,https://www.linkedin.com/jobs/view/4152000126,https://www.dior.com/carrieres/details.html?jobId=990090&sType=LinkedIn&urlHash=h2Pd,CDI - Chef de Projet Architecture Senior Ouest (F/H),Christian Dior Couture,"Paris, Île-de-France, France",2025-02-14,fulltime,,,,,,,director,"Art/Creative, Design, and Strategy/Planning",,,"Poste
   

  

 Nous recherchons un(e) Chef de Projet Architecture Senior pour intégrer le département Architecture de Christian Dior Couture à partir de mars/avril 2025 au sein de l’équipe projets West.
   

  

 Le département Architecture a pour mission d'assurer le développement du réseau des boutiques Christian Dior Couture dans le respect de l'image de la marque et de son concept architecture via des projets de rénovation ou d'ouverture de boutiques, dans un souci d'optimisation des espaces et des coûts.
   

  

 Missions
   

  

 Le Chef de Projet Architecture est responsable du design des projets boutiques (nouvel emplacement, agrandissement, rénovation, relocation). Sa responsabilité va jusqu'au suivi de la construction même si celle\\-ci est déléguée à un architecte local \\& store planer local, dans le respect des coûts et plannings annoncés.
   

  

 Le design et le développement de nouveaux mobiliers et d'éléments d'architecture en harmonie avec le concept architectural de Dior sera une part importante de votre travail.
   

  

 Vous développerez ainsi des projets qui seront validés par le responsable de Zone et le directeur de l'Architecture puis présentés en comité boutiques auprès de la Direction Générale de la maison Christian Dior Couture.
   

  

 Vous aurez la charge de piloter le design et le développement des projets approuvés en étant responsable du suivi des projets et du contrôle des dessins d'architectes d’exécution, des dessins de fabrication des entreprises et de leur qualité d’exécution dans le cadre des plannings et budgets impartis.
   

  

 Profil
   

  

 Vous avez une formation en Architecture / Architecture d'intérieur.
   

  

 Idéalement, une expérience de 7/10 ans en agence d’architecture et/ou dans une société de retail.
   

  

 Une expérience dans le design et de la construction est nécessaire.
   

  

 Une expérience en management de projet et suivi de chantier est un atout important.
   

  

 Une excellente maîtrise de l'anglais à l'écrit et à l'oral est essentielle
   

  

 Vous avez une grande curiosité.
   

  

 Vous aimez l'innovation et vous aimez être à la recherche de nouvelles techniques, nouvelles méthodes de travail, nouveaux matériaux.
   

  

 Vous avez un excellent relationnel et une très bonne capacité à communiquer et à convaincre.
   

  

 Vous avez une parfaite maîtrise du Pack Office, d'Autocad et de Photoshop.
   

  

  

  

 Information à l'attention des candidats
   

  

*Encourageant la diversité sous toutes ses formes, Christian Dior Couture s'est engagé depuis 2013 dans une démarche en faveur de l'emploi des personnes en situation de handicap.*",Retail Luxury Goods and Jewelry,https://fr.linkedin.com/company/christian-dior-couture,https://media.licdn.com/dms/image/v2/C4D0BAQFf1jQWl-iyPw/company-logo_100_100/company-logo_100_100/0/1630535198645/christian_dior_couture_logo?e=2147483647&v=beta&t=40qhzX8KnRVLYh_sysEitXvrAMWNS5pB5mGezzSTFTI,,,,,
li-4159885703,linkedin,https://www.linkedin.com/jobs/view/4159885703,https://candidat.francetravail.fr/offres/recherche/detail/2247366&urlHash=naNz,Chef de projet cycle de vie produits H/F,Schiever,"St.-Ouen, Île-de-France, France",2025-02-14,fulltime,,,,,,,mid-senior level,Project Management and Information Technology,,,"**Description** 
 Missions : \\* Pilotage des projets liés aux changements de packaging, reformulations, évolutions réglementaires, etc. \\* Gestion des projets depuis la demande jusqu'à la mise en stock des nouveaux produits et/ou la fin des stocks des anciennes références. \\* Coordination avec divers acteurs (marketing, R\\&D, réglementaire, packaging, achats, supply chain, etc.). \\* Recueil et rationalisation des demandes. \\* Elaboration et suivi des plannings. \\* Identification des alertes et proposition de solutions alternatives. Ce qu'il vous faut pour réussir : \\* Formation d'Ingénieur généraliste ou équivalent. \\* Expérience en Gestion de projets cosmétiques, idéalement avec des connaissances en Supply Chain et Change Control. \\* Maîtrise des méthodes de gestion de projets et des outils tels que MS Project. \\* Connaissance de la norme ISO 22716\\. \\* Compétences en conception et mise à jour d'outils de reporting. \\* Rigueur, curiosité, proactivité, sens du travail d'équipe. \\* Autonomie, organisation, gestion des priorités. \\* Capacité à communiquer et à s'adapter à divers interlocuteurs. \\* Anglais courant souhaité. Avantages : \\* Rémunération avec divers avantages. \\* Missions stimulantes dans un bel environnement de travail. \\* Possibilité de télétravail. \\* Restaurant d'entreprise sur site. \\* Navette privée depuis la gare jusqu'au site.
   

  

**PROFIL SOUHAITÉ**
**Expérience**
* Expérience souhaitée de 3 An(s)


 Source: France Travail (https://www.francetravail.fr/)",Tobacco Manufacturing,https://fr.linkedin.com/company/schiever,https://media.licdn.com/dms/image/v2/D4E0BAQFSjcOPwBVe9w/company-logo_100_100/company-logo_100_100/0/1698922305211/schiever_logo?e=2147483647&v=beta&t=_znPYULyyOq3emgqalxtYVrcNH3MgZm7__CuDhYUSbk,,,,,
li-4151630776,linkedin,https://www.linkedin.com/jobs/view/4151630776,https://jobs.freseniusmedicalcare.com/senior-project-manager-patient-attraction-retention/job/56FF0BC4849CE7334CC5D49312E136A3?source=LinkedIn&urlHash=dRom,Senior Project Manager Patient Attraction & Retention,Fresenius Medical Care,"Fresnes, Île-de-France, France",2025-02-14,fulltime,,,,,,,mid-senior level,Project Management and Information Technology,,,"**Goal of function:**
**Develop and implement strategies to understand and meet the needs of both patients and healthcare providers, improving the organization’s ability to attract and engage patients while enhancing collaboration across the healthcare market. Foster relationships with healthcare providers, broaden collaborative efforts, and ensure the organization is equipped to effectively address patient needs and improve patient attraction.**
 Tasks performed regularly which form the essential characteristics of the position.
   

  

  

* Lead Market Intelligence Initiatives:


 Develop market intelligence to understand healthcare providers' needs and dynamics within the healthcare market. Use this insight to increase the quantity and quality of interactions and strategically target key stakeholders. Oversee the implementation and effective use of CRM software for tracking and coordinating interactions.
   

  

  

* Develop Strategies to Enhance Patient Attraction:


 Design and implement strategies, programs, and frameworks tailored to attract and engage patients, ensuring these initiatives align with the needs of both patients and healthcare providers.
   

  

  

* Define and Strengthen the Company’s Value Proposition:


 Lead efforts to enhance the organization’s reputation and value proposition among healthcare providers. Collaborate with internal experts (GMO, DTI, AI, Compliance, etc.) to identify tools and strategies that enhance the organization’s ability to meet healthcare providers’ needs and improve collaboration.
   

  

  

* Foster Strategic Partnerships:


 Provide guidance for developing partnerships with hospitals, GPs, and private medical practices (e.g., for CKD screening, patient education, etc.). Support local teams in formalizing collaboration efforts, including the creation of contractual relationships where applicable.
   

  

  

* Identify Strategies for Direct Patient Engagement:


 Develop strategies to directly engage CKD and ESKD patients through online channels, community events, and screening campaigns. Facilitate knowledge sharing between countries and ensure standardized approaches are implemented where appropriate.
   

  

  

* Coordinate the Development of Stakeholder\\-Focused Materials:


 Oversee the creation of materials aimed at external stakeholders, such as CKD awareness resources, presentations, and other communication tools. Focus on improving collaboration with healthcare providers, GPs, and patient associations by ensuring these materials meet the needs of both patients and healthcare providers.
   

  

  

* Partner with and Coordinate Growth Teams:


 Collaborate with and provide strategic guidance to professionals responsible for growth, including dedicated growth teams and AHO’s, ensuring alignment with the organization's overall patient attraction and engagement strategies.
   

  

  

* Coordinate Collaboration with Patient Associations:


 Engage with patient associations to jointly run programs that promote kidney disease awareness, patient education, screening initiatives, and improve access to therapy\\-related information.
   

  

  

* Oversee Patient Feedback \\& Grievance Management (EMEA):


 Coordinate the end\\-to\\-end management and reporting of patient grievances across the EMEA region. Ensure patient feedback is systematically integrated into the Growth Action Plan (GAP) and used to drive continuous improvement.
   

  

**Required training and education:**
 BA’s, eventually MA’s in economics, marketing, business management, social science, nursing or medical science, etc.\\\\
   

  

**Required professional experience (in years):**
* 5\\+ Years in Healthcare Management – Focused on patient attraction and retention, healthcare marketing, or P\\&L management, including managing interactions with external healthcare organizations and a strong market understanding of dialysis.
* Broad Expertise – Ideally including experience in operations, marketing, commercial management, business development, patient experience, and patient engagement.


**Required personal competencies:**
* Strategic Thinking
* Collaboration \\& Influencing Skills
* Communication Excellence
* Analytical Mindset – Highly inquisitive, with a passion for working with data.
* Leadership \\& Project Management – Able to build sound plans and pursue goals tenaciously.
* Adaptability \\& Problem\\-Solving
* Relationship Building \\& Networking
* Results\\-Driven
* Cultural Awareness \\& Sensitivity
* “Can Do” Attitude, Resilience \\& Persistence
* Knowledgeable in the Dialysis Field


**Functional knowledge**
* Dialysis, Therapies, and Healthcare
* Marketing Expertise
* Basic Business Financials \\& KPIs
* Excellent Communication \\& Presentation Skills in English


**Travel Requirements**
 Willingness to travel for a significant share of working time and to work overtime when required",Hospitals and Health Care,https://de.linkedin.com/company/freseniusmedicalcare,https://media.licdn.com/dms/image/v2/D4E0BAQFAsLKr1-WtWA/company-logo_100_100/company-logo_100_100/0/1666257382828/freseniusmedicalcare_logo?e=2147483647&v=beta&t=yP6D6OuG4Qy72LvJujLtUbU_K5UYrDSlqIQIrypyfJo,,,,,
li-4152195432,linkedin,https://www.linkedin.com/jobs/view/4152195432,,KFC Siège – Chef(fe) de Projet Innovation Produits - H/F,KFC France,"Paris, Île-de-France, France",2025-02-13,fulltime,,,,,,,associate,Marketing and Product Management,,,"**Découvrir l’histoire du Crewstillant…** 
 KFC (Kentucky Fried Chicken) est une chaîne de restauration rapide internationale célèbre pour la figure emblématique de son fondateur : le Colonel Sanders, inventeur du fameux poulet CRISPY. KFC France est une filiale du groupe Yum ! Brands, qui possède également les marques Taco Bell et Pizza Hut. Aujourd’hui plus de 10 000 collaborateurs travaillent déjà pour notre enseigne et nous recherchons activement de nouveaux talents pour contribuer à notre fort développement. Vous recherchez de nouveaux défis ? Nous recherchons nos futurs talents ! Venez rejoindre le crewstillant.
 



  





 Le crewstillant, c’est d’abord une équipe certifiée par le Label Great Place to Work. Quelques exemples pour que ce soit plus parlant… Intégrer KFC France c’est d’abord une intégration de qualité, 97 % des collaborateurs se considèrent bien accueillis. La diversité, une réalité, plus de 80 % des collaborateurs considèrent être traités équitablement quel que soit leur âge, origine ethnique, genre et orientations sexuelles. Dans le quotidien au sein des équipes : une atmosphère de travail plaisante pour plus de 93% des collaborateurs.
 



  





 Intégrer le siège de KFC France, c’est rejoindre une équipe dynamique de 100 personnes, agile et dirigée par le cœur dans une entreprise en pleine expansion. Toutes les fonctions support sont représentées au sein de notre siège (opérations, développement, finance et marketing) et de nombreuses opportunités sont ouvertes pour développer vos compétences. A un moment clé de la stratégie de communication de KFC France, marquée par une accélération du nombre d’ouvertures de restaurants et une volonté forte de se rapprocher du consommateur français, KFC recherche son(sa) futur(e)
 **Chef(fe) de Projet Innovation Produits.** 
 Rattaché(e) au Senior Innovation Manager, vous êtes garant(e) de
 **la stratégie d’innovation « consumer\\-centric »** 
 en ligne avec nos enjeux opérationnels et notre exigence en matière de qualité. Doté(e) d’une créativité sans limite, d’une vraie sensibilité organoleptique et d’une solide expertise produit, vous saurez imaginer les produits de demain pour permettre à KFC de se distinguer sur un marché ultra compétitif. Votre rigueur et votre pragmatisme vous permettront de garantir leur bonne exécution opérationnelle.
 



  





 Au sein de l’
 **équipe Marketing Innovation** 
 , vous gérez un portefeuille de projets de développement de concepts (produit/packaging) de l’élaboration du mix jusqu’au déploiement en restaurant qui répond à nos enjeux de marque. Au quotidien, vous travaillez avec différents interlocuteurs
 **internes** 
 (marketing, supply, opérations, achats et qualité) et
 **externes** 
 (fournisseurs) pour garantir la faisabilité et la bonne exécution de vos projets. Votre rôle implique également des interactions régulières avec les équipes FIT (Food Innovation Team) des différents marchés, l’équipe FIT globale ainsi que nos partenaires franchisés.
 



  






 Les missions du
 
**Chef(fe) de Projet Innovation Produits**

 au sein du Crewstillant :
 




  





**Co\\-construire le pipeline de nouveaux produits KFC avec le Senior Innovation Manager et garantir sa mise en œuvre** 



* Imaginer et développer les recettes et les solutions packagings innovants de demain pour donner vie aux concepts proposés par le Senior Innovation Manager
* Lead de benchmarks internes groupe et concurrence
* Rédaction des briefs fournisseurs et suivi des développements
* Rédaction et validation avec le service qualité de la fiche technique de produit
* Organisation du protocole de l’analyse sensorielle (organisation de dégustations) et de l’analyse nutritionnelle (Nutriscore)
* Garantir la rentabilité du projet



  





**Faire évoluer notre gamme Core en termes de recettes et de solutions packaging pour répondre aux attentes consommateurs ainsi qu’aux nouvelles normes réglementaires** 



* Imaginer et exécuter les améliorations à apporter à notre offre permanente en collaboration avec le Senior Innovation Manager et les équipes internes tout en intégrant les enjeux nutritionnels et RSE.
* Collaborer avec les équipes européennes et globales pour identifier les best practises applicables au marché français et bénéficier des effets de synergies
* Garantir la faisabilité opérationnelle ainsi que la bonne exécution en restaurant



  





**Être garant de la bonne exécution des innovations en restaurant** 



* Définition du processus de mise en œuvre des produits en restaurant conformes aux standards de l’enseigne
* Organisation des tests opérationnels et analyse des résultats pour la validation terrain
* Formalisation des processus et nouvelles procédures. Création des supports pour mise en œuvre en restaurant
* Formation des équipes opérationnelles RSC et restaurant



  





**Nourrir l’équipe en termes de nouvelles tendances Food \\& Packaging** 



* Organisation de sessions de créativité et d’innovation : benchmark, dégustation de la concurrence, prototypage avec des fournisseurs partenaires
* Exploration de nouveaux territoires d’innovations



  





 Un poste très complet, qui permet de développer ces compétences en Innovation Produits mais aussi les compétences de chef de projet, dans un univers dynamique et innovant. Pour vous accompagner dans toutes ces missions, vous aurez le soutien et le management d’un stagiaire.
 



  





**Votre profil pour rejoindre le Crewstillant :**




  





 De profil
 **Bac \\+5 (école d’ingénieur ou cursus universitaire classique)** 
 , vous possédez de 2 à 5 années d’
 **expériences** 
 en
 **Agroalimentaire** 
 . Vos précédentes expériences professionnelles vont ont permis de découvrir l’univers
 **de la Food** 
 et de développer de solides connaissances
 **des processus industriels et opérationnels** 
 . Passionné(e) de food, vous vous démarquez par votre créativité et votre capacité à gérer des projets cross\\-fonctionnels. Pragmatique, réactif et rigoureux, vous savez être à l’écoute du terrain et identifier des solutions. Vous êtes également un(e) chef(fe) de projet passionné(e) hors pair, doté(e) d’un vrai leadership et d’un excellent relationnel. Rejoignez une équipe passionnée dans le secteur dynamique de la restauration rapide.
 



  





 Votre niveau d’anglais vous permet d’évoluer dans un environnement professionnel international ?
 



  





 Vous êtes passionné(e) d’innovation, de food et par\\-dessus tout de poulet croustillant ? Vous cherchez un environnement dans lequel vous pourrez avoir de l’impact et mener des projets passionnants au sein d’une équipe de foodies fun et passionnée ?
 



  





**Les avantages du Crewstillant :**




  





 Intégrer KFC France, c’est évoluer dans un environnement international et multiculturel, hybride, flexible et agile. Des dispositifs de mobilité interne, de développement de carrière et de formation vous permettent de grandir et de vous épanouir au quotidien.
 



  





 Travailler au siège de KFC France, c’est bénéficier :
 


* D’une rémunération attractive et d’un plan de bonus ouvert à tous les collaborateurs comprenant des leviers de surperformance collectifs et individuels,
* De 2 jours de télétravail par semaine, et de 10 à 14 RTT par an,
* De services sur site lors des journées en présentiel : Conciergerie, Restaurant inter entreprise ou salle de sport
* Des titres restaurant avec notre partenaire Swile, y compris durant vos journées de Télétravail
* D’un abonnement transport pris en charge à 50% : Pass Navigo, abonnement Vélib’
* D’une mutuelle santé couvrant toutes les personnes du foyer et financée à plus de 60% par l’entreprise
* D’une prime mobilité douce de 100€ pour favoriser vos déplacements éco\\-responsables
* Des avantages du CSE : chèques cadeaux, chèques vacances, chèques cultures



  





**Postuler pour le Crewstillant, c’est :**




  





 Partager nos valeurs fondées sur la diversité et l’inclusion. Elles guident notre engagement au quotidien, offrent du sens à nos métiers, soudent les équipes et les animent tout au long de leur carrière. Notre politique de recrutement, comme celle de développement de nos talents, s’engage à favoriser l’épanouissement de chacun, en toute transparence, équité, respect et bienveillance. Nous sommes très fiers de la diversité de nos talents, clé de de voûte de notre succès.
 



  





 Le sourcing et la sélection des candidats reposent sur des critères objectifs et inclusifs :
 



  




* Entretien de pré qualification avec un interlocuteur RH (30 minutes en visio\\-conférence)



 Pour échanger autour de votre parcours et vos motivations
 



 Pour également découvrir la culture du Crewstillant
 


* Entretien avec le manager responsable de l’offre (1 heure en présentiel)



  





 Devenir
 **Chef(fe) de Projet Innovation Produit** 
 au sein du Crewstillant est alors pour vous une très belle opportunité dans une entreprise en pleine expansion !
 



  





 Vous souhaitez en apprendre davantage sur notre politique de traitement des données personnelles, nous vous invitons à cliquer sur le lien suivant : https://www.kfc.fr/confidentialite\\-candidats.",Food and Beverage Manufacturing and Marketing Services,https://fr.linkedin.com/company/kfc-france,https://media.licdn.com/dms/image/v2/C560BAQEwZ1CEmQtVoA/company-logo_100_100/company-logo_100_100/0/1630587616882/kfc_france_logo?e=2147483647&v=beta&t=VAoEfUl3CF1bCJxkiBZIamqZZja-YtqgIa1VHTsL44o,,,,,
