id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
gd-1009624373047,glassdoor,https://www.glassdoor.fr/job-listing/j?jl=1009624373047,,Responsable Ratios Groupe - F/H,BPCE SA,Paris,2025-02-04,,,,,,,False,,,sponsored,,"**Notre activité**
------------------


Rejoignez une entreprise au cœur des activités du groupe BPCE, de ses évolutions et de son développement.


Organe central du Groupe, BPCE SA assure la coordination, la cohérence et les synergies entre les différentes marques pour porter les ambitions du Projet du Groupe BPCE 2024\\.


Les missions confiées à nos collaborateurs offrent une vision transversale des enjeux économiques et stratégiques du Groupe.


Rattaché(e) au responsable Reportings financiers groupe (Consolidation / FINREP / Ratios), vous serez responsable de la production des ratios groupe et BPCE SA mais aussi du contrôle et du suivi des ratios des affiliés. Vous aurez en charge le management de l’équipe (10 collaborateurs).

**Vos missions au sein de l’équipe**
------------------------------------


Les missions principales sont :


* Garantir la production et l’analyse des reportings prudentiels du groupe BPCE et de BPCE (COREP, LEVIER, FRTB, I to A, Conglomérat, SRB\\-LDR, MREL\\-TLAC)
* Garantir la transmission des reportings en qualité et dans le respect des échéances
* Préparer les éléments à présenter aux comités internes
* Assister les établissements affiliés du Groupe pour l’élaboration de leurs reportings sur base sous\\-consolidée
* Interagir avec les superviseurs sur les sujets de solvabilité/prudentiels
* Apporter son expertise à l’équipe, aux affiliés, aux services transverses
* Répondre aux demandes des autres directions et des régulateurs
* Impulser et accompagner les évolutions nécessaires pour améliorer la qualité des données produites, contribuer aux projets et évolutions de l’entreprise (contrôles taxonomiques, nouveautés réglementaires…)
* Participer à la veille réglementaire
* Contribuer aux rapprochements avec le capital management

SUPERVISER LA PRODUCTION /GARANTIR LA QUALITE DES INFORMATIONS PRODUITES


* Superviser les reportings produits par l’équipe
* Superviser les travaux transverses liés aux productions en lien avec la résolution, le COREP, le CONGLOMERAT \\& I to A (communication financière, Pilier III…)
* Assurer dans les délais les demandes des directions et des régulateurs

OPTIMISER LES PROCEDURES, NORMES ET METHODES


* Anticiper les évolutions réglementaires
* Veiller au respect des règles internes et externes
* S’assurer de la cohérence des pratiques internes avec les textes réglementaires

ASSISTANCE AUX ENTITES DU GROUPE / ANIMATION DE LA FILIERE


* Accompagner les établissements dans la mise en oeuvre des nouvelles normes
* Veiller au respect des contrôles et envois des déclarations des affiliés
* Animation de la filière

PARTICIPER AUX PROJETS REGLEMENTAIRES INDUITS


* Impulser et accompagner les évolutions nécessaires à la mise en qualité des données, des reportings, mise en oeuvre des nouvelles réglementations, intégration des nouvelles entités…
* Veiller au respect des plannings des projets
* Suivre le budget

CONTRIBUER AUX ECHANGES TRANSVERSES AU SEIN DE LA DIRECTION


* Participer aux groupes de travail transverses et contribuer notamment en tant qu’expert sur les sujets ratios et fonds propres
* Proposer des contrôles, des analyses à mettre en place
* Proposer des axes d’automatisation ou d’amélioration de process

**Vos atouts pour réussir**
---------------------------


Formation :


* De formation supérieure DESCF, Ecole de commerce ou équivalent, vous avez une expérience comptable en milieu bancaire et une expérience en conduite de projets
* Expériences requises :
* Expérience en comptabilité bancaire
* Expérience ratios prudentiels
* Expérience avec les autorités de supervision (ACPR, BDF, BCE…)
* Conduite de projets transverses

Compétences :


* Connaissance de la comptabilité bancaire
* Connaissance de la réglementation prudentielle
* Gestion de projets
* Forte capacité à appréhender les sujets techniques
* Bonne capacité à communiquer et à faire oeuvre de pédagogie
* Maîtrise de l’Anglais
* La connaissance de BFC est un plus

  

Qualités requises :


* Rigueur et méthodologie
* Capacité d’organisation
* Adaptabilité
* Aisance rédactionnelle

**Pourquoi nous rejoindre ?**
-----------------------------

**Un Groupe engagé dans le développement de ses collaborateurs**


* Des opportunités professionnelles au sein de l'ensemble du groupe BPCE, avec la possibilité de bénéficier d’accompagnements sur\\-mesure (parcours d’upskilling / reskilling, LinkedIn Learning ..)
* Un modèle managérial favorisant la mise en responsabilité et la prise d'initiatives

**Un Groupe engagé dans les enjeux sociétaux et environnementaux**


* Le Groupe BPCE place le climat comme priorité d’action de tous ses métiers et de toutes ses entreprises. Trois objectifs sont fixés : aligner tous ses portefeuilles sur une trajectoire ""net zéro"", accompagner ses clients dans leur transition environnementale, et réduire sa propre empreinte.
* En quelques chiffres la RSE dans le Groupe :
	+ 1erfinanceur de l’économie sociale et solidaire avec 15\\.9 Md€ d’encours
	+ 35 Md€ d’encours de financement de la transition énergétique
	+ 6 millions d’emplois soutenus grâce à l’activité des réseaux BP et CE

Être un employeur inclusif à travers des politiques fortes en termes de mixité, d’équilibre des temps de vie, de santé au travail …


**Mais aussi …**


* **10 jours de télétravail** par mois
* Une carte ticket\\-restaurant de 11€ euros par jour de télétravail
* **29 jours de congés payés** et entre **16 et 19 jours de RTT** (en fonction du calendrier des jours fériés)
* **64,2%** de prise en charge des frais de transport
* Un **dispositif d’épargne salarial attractif** avec système d’**abondement de 2500 euros** annuel
* Une **mutuelle avantageuse** avec la prise en charge de la cotisation à hauteur de **56,3 %**
* **Vous aurez accès à toutes les prestations de notre CSE** : enveloppe loisirs, tarifs préférentiels sur la billetterie, voyages organisés, etc. pour profiter de moments de pause entre amis ou en famille !

  

**NOTRE PROCESS DE RECRUTEMENT**


Notre annonce vous parle et vous donne envie ? Candidatez, et si votre profil matche notre équipe de recruteurs vous contactera :


* 1 entretien pour comprendre votre parcours et vos motivations
* 1 à 2 entretiens métiers

A minima un des entretiens aura lieu au sein de nos locaux, pour que vous puissiez découvrir votre futur environnement de travail.


En tant qu’employeur responsable et engagé à construire un environnement de travail inclusif, nous offrons les mêmes opportunités aux talents de tous horizons, indépendamment de votre âge, origine, orientation sexuelle, handicap...",,https://www.glassdoor.fr/Overview/W-EI_IE354301.htm,https://media.glassdoor.com/sql/354301/bpce-squarelogo-1402071821908.png,,,,,
gd-1009625753221,glassdoor,https://www.glassdoor.fr/job-listing/j?jl=1009625753221,,CDI - Responsable Projet LabAutomation,l'Oréal,Saint-Ouen,2025-02-04,,,,,,,False,,,organic,,"I
  
  

Depuis plus de cent ans, L’Oréal opère selon l'idée que la beauté a besoin de la science. Dans un monde désormais transformé par l'accélération digitale et l’émergence de nouveaux domaines scientifiques, nous sommes confiants dans notre capacité à transformer ces nouvelles opportunités en innovations disruptives, étroitement liées aux nouvelles attentes des consommateurs du monde entier. La science et la technologie nous permettent d’inventer des produits et des expériences de beauté sûrs, fiables, durables et responsables qui changeront la vie des gens.
  
  

L’Oréal R\\&I n'a cessé d'investir dans sa recherche avec un très haut niveau d’ambition. Nos 4100 collaborateurs R\\&I sont talentueux \\& hautement qualifiés, basés dans le monde entier sur nos principaux marchés, collaboratifs \\& ouverts sur le monde.
  
  

Au sein de l’entité Excellence Opérationnelle, l’équipe LabAutomation a pour mission d’accompagner les équipes du monde entier dans la mise en place de solutions techniques et de process automatisés pour répondre aux enjeux d’innovation et aux enjeux business de la R\\&I, inscrits dans notre trajectoire de développement durable et capitalisant sur les « Green Sciences ».
  
  

Au sein de cette équipe, nous recherchons un ingénieur généraliste avec une orientation technique et une appétence pour le pilotage de projet.
  
  

Ce poste en CDI est à pourvoir à partir de février 2025 à Saint\\-Ouen (93\\).
  
  

Intégré(e) à l’équipe LabAutomation, vos missions en tant que responsable de projets seront les suivantes :
  
  

* Gestion de projets de transformation : accompagner les équipes de la compréhension du besoin à la mise en service de solutions techniques :
* Accompagnement pour la rédaction des spécifications
* Lancement d’appels d’offre
* Pilotage du volet technique du projet
* Être garant du bon déroulé du process
* Aligner les différentes parties prenantes pour assurer l’excellence tout au long du projet
* Amélioration continue des process et méthodes de travail : en constante amélioration, nous cherchons un profil capable de remettre en question les acquis et de proposer de nouvelles solutions
* Rencontrer les équipes scientifiques pour comprendre leur expertise et identifier, dans leurs process, des points d’améliorations
* Conception et fabrication : prototyper, tester et itérer des solutions techniques « low\\-tech » permettant de répondre à des enjeux du quotidien.
* Vous êtes titulaire d’un Bac\\+5 en Ingénierie, vous avez une appétence pour l’amélioration continue et pour les projets de transformation par la technique.
* Vous avez un état d’esprit compatible avec l’excellence opérationnelle
* Vous êtes orienté solutions
* Vous avez esprit d’analyse
* Vous mettez en place une communication efficace
* Dynamique, persévérant(e) et rigoureux(se), vous appréciez le travail en équipe et êtes force de proposition.
* Doté(e) d’un fort esprit d’équipe, combinant collaboration, expertise et pédagogie.
* A la fois organisé(e) et flexible avec une bonne autonomie ; à l’aise dans la gestion de la complexité et dans les relations avec des interlocuteurs multiples.
* Adaptable et volontaire pour développer des compétences techniques et managérial nouvelles pour vous.",,https://www.glassdoor.fr/Overview/W-EI_IE3470.htm,https://media.glassdoor.com/sql/3470/l-oréal-squareLogo-1725875714199.png,,,,,
gd-1009623924536,glassdoor,https://www.glassdoor.fr/job-listing/j?jl=1009623924536,,Infirmier.e Coordinateur.trice - CDI - Longpont sur Orge (91),Château de Villebouzin,Longpont,2025-02-03,,direct_data,hourly,13.0,16.0,EUR,False,,,sponsored,,"Nous recherchons **un.e Infirmier(ère) Coordinateur/trice motivé.e en CD**I pour accompagner les équipes et ainsi, faire bénéficier chaque patient des meilleurs soins individualisés !

Notre culture est centrée sur le soin : nous faisons du bien\\-être et du développement de chacun.e une priorité pour soutenir leur professionnalisme au quotidien.

**CE QUE NOUS OFFRONS**

En rejoignant le Groupe, vous pourrez vous projeter sur le long terme et bénéficier des avantages liés à un grand Groupe.

* Une prime dite de 13ème mois
* Titres Restaurants ou restauration sur nos établissements à tarif préférentiel
* Accord d’entreprise permettant la réalisation d’heures supplémentaires au\\-delà du contingent conventionnel
* Subrogation
* Accord d’intéressement
* Primes de cooptation
* Services à taille humaine : un management en proximité, un esprit d’équipe et d’entraide entre collègues...
* Avantages CSE en région et CSE Central
* Accès facilité à la formation (possibilités de financement de DU par exemple)
* Gestion de carrière individualisée et accompagnement à la mobilité (géographique et professionnelle) : par exemple, en tant qu’infirmier.ère, possibilité d’évoluer vers différentes spécialités de soins et vers des fonctions d’encadrement (IDEC, responsable de soins, direction d’établissement)
* Procédures qualité et méthodes innovantes pour une prise en charge de qualité

**VOS MISSIONS**

Sous la responsabilité du Directeur Exploitation ou du Responsable des soins, vous aurez comme missions :

* Organiser la continuité des activités et des soins et superviser les stratégies d’accompagnement
* Coordonner les moyens humains et matériels permettant de réaliser les soins infirmiers et d’accompagner le patient dans sa prise en charge personnalisée, en promouvant la politique de soins de l’établissement
* Assurer l’interface entre le patient, son entourage et les différents services de la Clinique
* Manager l’équipe de soins et participer à leur montée en compétences

**LE GROUPE AUQUEL VOUS APPARTIENDREZ**

CLINEA fait partie du Groupe, acteur de référence en matière de soins, avec des équipes engagées au service des patients et des activités diversifiées et complémentaires (EHPAD, maisons de retraite médicalisées, Soins de Suite ou de Réadaptation, Psychiatrie, services d’aide à domicile)

CLINEA est spécialisé dans la prise en charge globale de la dépendance. Depuis plus de 20 ans, CLINEA développe son offre de soins selon les besoins des territoires afin d’offrir confort, qualité et sécurité tout au long de l’hospitalisation du patient.

**VOTRE PROFIL**

* Niveau d’études min. requis : titulaire du Diplôme d’État d’Infirmier(ère)
* Niveau d’expérience min. requis : à minima 2 ans d’expérience en tant qu’Infirmier(ère) est souhaitable

**CE POSTE EST FAIT POUR VOUS !**

Vous possédez une expérience significative dans le management d’équipe idéalement acquise en Clinique Psychiatrique ? Vous souhaitez participer au développement des compétences des équipes ?

Vous recherchez l’utilité au quotidien et êtes animé, comme nous, par le « prendre soin » ? Vous souhaitez être un acteur de référence dans le développement de la dynamique de soins ? Vous appréciez le travail en équipe pluridisciplinaire ? Vous disposez de qualités relationnelles, d’écoute et d’adaptation ?

Nos opportunités s’adressent aux professionnels de tous horizons : nous sommes attentifs à proposer un environnement de travail favorables à tous, qui donne les moyens de bien exercer son métier et qui met en place les aménagements et l’accompagnement à la prise de poste nécessaires.

emeismed6

Job Type: Full\\-time

Pay: 13\\.64€ \\- 16\\.68€ per hour

Work Location: In person",,https://www.glassdoor.fr/Overview/W-EI_IE38065.htm,https://media.glassdoor.com/sql/38065/orpea-groupe-squareLogo-1711098925592.png,,,,,
gd-1009623305450,glassdoor,https://www.glassdoor.fr/job-listing/j?jl=1009623305450,,Responsable division test H/F,Talents Executive,Buc,2025-02-03,,direct_data,yearly,50000.0,60000.0,EUR,False,,,sponsored,,"**Description de l'entreprise :**



Talents Executive est le cabinet de recrutement du Top Management et du Middle Management. Nous avons pour vocation d'accompagner les entreprises dans la recherche de leurs collaborateurs clés (cadres, cadres dirigeants et experts) sur l'ensemble de leurs fonctions support : Finance, Ressources Humaines, Juridique, Paie, Marketing / Communication, Achats / Supply Chain.


**Description du poste :**



Talents Executive est un cabinet de recrutement qui a pour vocation  

d'accompagner les entreprises dans la recherche de leurs cadres sur  

l'ensemble des fonctions supports.  

  

Notre client, société spécialisée dans la MICROÉLECTRONIQUE, est  

à la recherche d'un Responsable division test H/F.  

  

Rattaché au Responsable, vous serez responsable de la gestion des  

plannings de test.  

  

* Vous créerez et mettrez à jour le planning quotidien de


production tout en anticipant les charges de travail des projets à  

venir.  

* Vous appliquerez les priorités définies en réunion quotidienne


et assurerez un suivi précis de l'avancement des tests. En cas  

d'aléas ou de retards, vous les identifierez rapidement et en  

informerez votre hiérarchie.  

* Vous proposerez de nouvelles méthodes et outils pour améliorer


les processus existants.  

* Vous participerez également aux groupes de travail


pluridisciplinaires et aux réunions associées.  

* Vous suivrez et ferez avancer les projets d'amélioration en


cours.  

  

Dans une démarche d'amélioration continue, vous serez moteur dans  

l'optimisation de l'environnement de production.  

  

Vous assisterez le Responsable du Groupe Test en prenant en charge des  

missions de validation de rapports, de documentation et de revues de  

contrat.  

  

Vous veillerez au respect strict des spécifications demandées. Cela  

inclut le suivi rigoureux des étapes de test, des conditions de test,  

ainsi que des contraintes de durée et de température.  

  

Vous serez également chargé(e) de la gestion des données liées aux  

tests.
**Description du profil :**



Vous justifiez de 5 ans d'expériences sur un poste similaire.  

  

Nous recherchons un(e) candidat(e) rigoureux(se) et organisé(e),  

disposant d'une formation technique Bac \\+5 ou d'une expérience  

équivalente dans un environnement industriel ou électronique.  

  

La rémunération est composée d'un salaire fixe et d'éléments  

variables (prime trimestrielle sur objectifs, participation,  

intéressement). Le poste est éligible à un jour de télétravail  

par semaine.",,https://www.glassdoor.fr/Overview/W-EI_IE6909349.htm,https://media.glassdoor.com/sql/6909349/infinite-talents-executive-search-and-staffing-solutions-squarelogo-1655728665815.png,,,,,
gd-1009623987910,glassdoor,https://www.glassdoor.fr/job-listing/j?jl=1009623987910,,Responsable commercial en assurance H/F,Assurance Unie,,2025-02-03,,direct_data,monthly,2300.0,4700.0,EUR,True,,,sponsored,,"Vous rêvez à terme de piloter votre propre entreprise ? Vous souhaitez devenir un expert en assurances IARD pour transmettre vos compétences auprès d’autres courtiers ?

**L’entreprise :**

Assurance Unie, Courtier en Assurance depuis 1992 développe une offre dédiée IARD au service des Particuliers depuis \\+ de 30 ans, dans \\+ de 16 agences en île de France.

Nos valeurs : Proximité, Réactivité, Satisfaction client, Négociation

Nous recherchons notre futur Courtier en assurance (H/F) pour accompagner notre développement.

Au sein de votre agence vous constituerez \\& consoliderez votre portefeuille client en toute autonomie. Vous serez le représentant de notre image de marque auprès du client.

**Le profil recherché**

Vous justifiez d'une expérience réussie de 3 ans minimum dans l'un des domaines suivants : animation commerciale, négociation, commercial, relationnel. Une expérience significative en assurance est un plus.

Compétiteur dans l'âme, relever des challenges et surpasser vos objectifs sont pour vous des sources de motivation.

**Nos Atouts**

Dès votre arrivée, vous bénéficierez d’un parcours d'intégration avec une formation à nos produits et méthodes de vente, vous serez également épaulé par votre Responsable de secteur et le Back Office.

\\* Votre investissement récompensé par un système de rémunération très motivant.

\\* Pour les entrepreneurs dans l’âme possibilité de rachat du portefeuille de l’agence après 3 années d’expérience et Opportunité d’évolution au sein du Groupe pour devenir animateur/inspecteurs de notre réseau Grossiste

Vous avez envie de vous épanouir dans un métier valorisant et de rejoindre une entreprise à taille humaine ?

Alors n'hésitez plus, osez, cliquez, postulez !

Notre site Internet : www.assurance\\-unie.fr

Le message du Dirigeant : https://youtu.be/sNHZvyLETi8

Lieu de travail mal desservi par les transports.

Secteur : 93/91/77

Garantie minimum à négocier selon profil.

Type d'emploi : Temps plein, CDI

Rémunération : 2 300,00€ à 4 700,00€ par mois

Horaires :

* Travail en journée

Rémunération supplémentaire :

* Commissions
* Primes

Expérience:

* Développement commercial: 3 ans (Requis)

Lieu du poste : En présentiel",,https://www.glassdoor.fr/Overview/W-EI_IE1927958.htm,https://media.glassdoor.com/sql/1927958/assurance-unie-squarelogo-1559562931510.png,,,,,
