id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
li-4147164924,linkedin,https://www.linkedin.com/jobs/view/4147164924,https://recrutement.hauts-de-seine.fr/nos-offres-demploi/detail/coordinateur-des-marches-publics-du-budget-et-du-foncier&urlHash=zc_8,Responsable technique des marchés publics (H/F),Département des Hauts-de-Seine,"Puteaux, Île-de-France, France",2025-02-11,fulltime,,,,,,,not applicable,Administrative,,,"📢
 **Rejoignez\\-nous en tant que Responsable technique des marchés publics !** 




  





 Au sein du pôle attractivité, culture et territoire, la direction de la nature et des paysages agit pour la transition écologique et la préservation du patrimoine naturel des Hauts\\-de\\-Seine.
 



 Paysagistes, jardiniers, agents d'accueil, arboristes, écologues, organisateurs d'événements, agents administratifs… travaillent ensemble et innovent pour améliorer le bien\\-être des Alto\\-Séquanais. Ils mettent en œuvre une stratégie « Nature » ambitieuse qui vise à permettre à tous les habitants de disposer d’un espace de nature de qualité à moins de 15 minutes à pied de leur domicile et qui prévoit la création de nouveaux parcs dans les prochaines années.
 



  





 En tant que responsable technique des marchés publics au sein du service Patrimoine végétal, vous pilotez le renouvellement des marchés liés à l’entretien et à la régénération des arbres dans les parcs et sur les routes départementales, aux plantations de végétaux et à l’approvisionnement en végétaux et produits horticoles, en intégrant les dimensions techniques, environnementales et économiques (depuis l’évaluation des besoins jusqu’à l’attribution des marchés publics aux entreprises).
 



  





 Vos missions principales:
 


* **Coordonner et piloter la passation des marchés de fournitures, de services et de travaux arboricoles pour les unités opérationnelles du service**
* **Assurer la création de marchés d’approvisionnement pour optimiser l’approvisionnement des arbres d’alignement**
* **Evaluer la pertinence des marchés publics mis en place et proposer des axes d’amélioration pour les futurs marchés**
* **Contribuer à la programmation et à l’exécution budgétaire du service.**



  





 Profil recherché:
 


* **Formation** 
 : Ingénieur territorial ou à défaut contractuel possédant un diplôme d’ingénieur ou un diplôme et une première expérience en lien avec les marchés publics (recrutement sur CDD renouvelable)
* **Compétences** 
 : Connaissances en marchés publics, aptitude à la conduite de projets
* **Qualités** 
 : Bonnes capacités de synthèse et d'adaptation, sens de l'organisation et méthodologie, capacité à faire preuve de rigueur, bonnes qualités relationnelles



  





 Votre lieu de travail:
 



 14 rue Hoche \\- 92800 Puteaux
 



  





 Pourquoi nous rejoindre ?
 



 Le Département place au cœur de ses engagements employeur l’épanouissement de ses agents et le respect de l’équilibre entre vie professionnelle et vie privée. Rejoindre le Département des Hauts\\-de\\-Seine, c’est faire le choix d’une collectivité de 4 700 agents représentant plus de 150 métiers, où il fait bon travailler en bénéficiant :
 



 \\- de beaux projets pour construire l’avenir du Département
 



 \\- d’un cadre de travail moderne et propice au bien être
 



 \\- d’une organisation du travail pour un équilibre vie pro/vie perso
 



 \\- d’une politique salariale attractive
 



 \\- d’opportunités de carrière et de formation pour évoluer
 



 \\- d’un soutien à la parentalité
 



  





**Et si, vous aussi, vous conciliiez épanouissement et projets professionnels ?**",Government Administration,https://fr.linkedin.com/company/departement-des-hauts-de-seine,https://media.licdn.com/dms/image/v2/D4E0BAQErniTxg4uqSg/company-logo_100_100/company-logo_100_100/0/1733236011922/departement_des_hauts_de_seine_logo?e=2147483647&v=beta&t=tf3HLspObYHEGqQS0F7F87WR-N93vYD5EehdllEWWuM,,,,,
li-4132524010,linkedin,https://www.linkedin.com/jobs/view/4132524010,https://rejoindre.onera.fr/detail-poste?jobId=5192&jobTitle=Responsable+d%E2%80%99unit%C3%A9+de+recherche+M%C3%A9thodes+avanc%C3%A9es+en+traitement+du+signal+%28F%2FH%29&sType=LinkedIn&urlHash=Byz8,Responsable d’unité de recherche Méthodes avancées en traitement du signal (F/H),ONERA - The French Aerospace Lab,"Palaiseau, Île-de-France, France",2025-02-10,fulltime,,,,,,,mid-senior level,Sales and Business Development,,,"Présentation de l'ONERA
   

  

 L’ONERA, acteur central de la recherche aéronautique et spatiale, emploie plus de 2100 personnes. Placé sous la tutelle du Ministère des Armées, il dispose d’un budget de 294 millions d’euros (2023\\), dont plus de la moitié provient de contrats d'études, de recherche et d'essais. Expert étatique, l’ONERA prépare la défense de demain, répond aux enjeux aéronautiques et spatiaux du futur, et contribue à la compétitivité de l’industrie aérospatiale. Il maîtrise toutes les disciplines et technologies du domaine. Tous les grands programmes aérospatiaux civils et militaires en France et en Europe portent une part de l’ADN de l’ONERA : Ariane, Airbus, Falcon, Rafale, missiles, hélicoptères, moteurs, radars… Reconnus à l’international et souvent primés, ses chercheurs forment de nombreux doctorants.
   

  

 Présentation du Département
   

  

 Le Département ÉlectroMagnétisme et Radar, DEMR, (120 permanents, 20 Doctorants) regroupe l’ensemble des compétences dans l’électromagnétisme. Réparti sur trois sites (Palaiseau, Toulouse et Salon de Provence), il touche un large panel d’acteurs dans le monde de la Défense (DGA, Industriels, PME/PMI), la communauté académique, l’union européenne, l’ESA et d’autres entités internationales hors union européenne. L'unité de Recherche « Méthodes avancées en traitement du Signal » (MATS) du département électromagnétisme et radar (DEMR) est située sur le site de Palaiseau (plateau de Saclay). Elle regroupe actuellement quatorze ingénieurs et cinq doctorants. Elle étudie et développe les techniques de traitement novatrices pour les capteurs radar et les moyens de guerre électronique (GE). Ses travaux portent notamment sur :
   

  

* Veille scientifique sur les techniques émergentes du domaine (IA, techniques cognitives…)
* Encadrement de thèses dans l’unité ;
* Optimisation de la gestion radar et des chaînes de traitement du signal (détection, estimation, pistage, reconnaissance...)
* Validation des traitements sur moyens expérimentaux,
* Restitution de moyens radar et analyses système…
* Réalisation d’études innovantes dans les domaines du radar, de la dissuasion et de la GE.


 Mission
   

  

 Vous assurerez une double activité de management de proximité et de leader scientifique de l’unité de recherche. Celle\\-ci consistera à :
   

  

* Piloter l’unité en cohérence avec les orientations stratégiques du département ;
* Bâtir et suivre le programme de l’unité (plan de charge, programme d'investissement, embauches…) ;
* Appuyer techniquement et scientifiquement les collaborateurs de l'unité, être force de proposition ;
* Animer la recherche de l’unité et assurer le suivi scientifique et technique des études ;
* Rechercher et négocier des contrats ; superviser l'élaboration des propositions techniques et financières par les responsables d'études.


 Vos responsabilités consisteront à :
   

  

* Encadrer hiérarchiquement, animer l’unité et reporter à la direction de département ;
* Être garant de la performance et de l'atteinte des objectifs de cette unité.


 Vous aurez également à bâtir et entretenir des relations professionnelles pour :
   

  

* Dialoguer et négocier avec des parties prenantes internes à l'ONERA et externes (clients, partenaires...) ;
* Représenter l’unité ou/et le département lors d’instances nationales et internationales.


 Vous serez amené à collaborer avec :
   

  

* Des instances étatiques (DGA, EDA, CNES, ESA) ;
* Différents partenaires industriels (Thales, Airbus, Safran, MBDA, Ariane Group…) et des ETI/PME ;
* Des laboratoires de recherche français et européens (DLR, TNO, FHR…) ;
* Des organismes internationaux (OTAN,NASA, DSO…).


 Vos missions seront conditionnées à l'obtention d'une habilitation de Défense nationale.
   

  

 Profil
   

  

* Ingénieur confirmé ayant une solide expérience dans l’encadrement d’ingénieurs\\-chercheurs permanents, doctorants ou post\\-doctorants ;
* Expérience de management de proximité appréciée ou souhaitée reposant sur des aptitudes réelles d’étendre ses compétences scientifiques et techniques vers un poste de management ;
* Compétences requises en traitement du signal et de l’information dans le domaine du radar et/ou de la guerre électronique. Des compétences dans les deux domaines seraient un plus ;
* Solide maîtrise de l’anglais (B2\\).


**Rejoignez l’ONERA, façonnez l’avenir !**
 Intégrer l’ONERA, c’est bien plus que rejoindre le premier acteur de la recherche aéronautique et spatiale en France. C’est s’engager dans une aventure où chaque jour est une occasion d’innover, de repousser les limites de la connaissance et de construire le futur.
   

  

 À l’ONERA, nous favorisons l’équilibre entre vie professionnelle et vie personnelle. Nous offrons un environnement stimulant qui encourage la formation continue de nos collaborateurs, permettant à chacun de se développer et de s’épanouir.
   

  

 Notre entreprise s'engage dans une politique en faveur de l'intégration et du maintien dans l'emploi des personnes en situation de handicap.
   

  

 Notre index d’égalité professionnelle de 95/100, établi en 2023, témoigne de notre engagement en faveur de la mixité.
   

  

 À l’ONERA, nous croyons fermement que la diversité de nos équipes est une force, enrichissant notre travail et nos innovations.
   

  

 Ensemble, nous pouvons façonner l’avenir de l’aéronautique, de la défense et de l’espace. Rejoignez l’ONERA, et prenez votre envol vers l’avenir.",Aviation and Aerospace Component Manufacturing,https://fr.linkedin.com/company/onera,https://media.licdn.com/dms/image/v2/C560BAQHBtk8CKS8mnw/company-logo_100_100/company-logo_100_100/0/1631342497582?e=2147483647&v=beta&t=1HSnMi4iCPdzw5bnmddHJL69d5fJD5IBSm6oCpt1T0M,,,,,
li-4149101211,linkedin,https://www.linkedin.com/jobs/view/4149101211,https://careers.accor.com/global/en/job/responsable-technique-in-mercure-paris-bercy-bibliotheque-paris-jid-43107&urlHash=M7tJ,RESPONSABLE TECHNIQUE,Mercure Hotels,"Paris, Île-de-France, France",2025-02-10,fulltime,,,,,,,entry level,Engineering and Information Technology,,,"**Mission**
 Le Mercure Paris Bercy Bibliothèque , hotel 4\\* de 88 chambres , 2 salles de réunion recherche son responsable technique.
   

  

 Vous travaillez seul sur ce poste en étroite collaboration avec la direction
   

  

 Sous l’autorité du Directeur Général, vous serez chargé(e) la bonne gestion et la rentabilité du service. Vous êtes reconnu(e) pour la pertinence de votre diagnostic technique et la qualité de vos interventions.
   

  

 Garant(e) du bon fonctionnement du matériel, vous apporte un soutien aux clients et aux différents départements de l’hôtel sur toutes les problématiques techniques, en intervenant personnellement ou en contactant les entreprises habilitées à le faire.
   

  

 Vous veillez au bon fonctionnement de votre service et gérez les problèmes techniques, administratifs et humains :
   

  

 Assure l’entretien du matériel technique et effectue des contrôles réguliers Contacte les sociétés extérieures en cas de demande d’intervention (ascenseurs, matériel de cuisine, climatisation…)
   

  

 Inspecte l’ensemble de l’établissement, prend note de tous les problèmes techniques et apporte des solutions pour les résoudre
   

  

 Répond à toutes les demandes du client dans les meilleurs délais
   

  

 Connaît les procédures d’intervention et d’évacuation en cas d’incendie et intervient en cas de nécessité
   

  

 Réalise le suivi général du département (travaux, interventions, maintenance réactive et curative)
   

  

 Effectue la mise en place des documents, plannings de maintenance des équipements et installations
   

  

 Suit les politiques et s’assure du respect des standards Accor et du groupe propriétaire au sein de son département
   

  

 Dirige et gère le service technique afin de maintenir la performance des équipements de l’hôtel et la qualité du service aux clients
   

  

 Pérennise le bon fonctionnement technique de l’hôtel
   

  

 Entretient les équipements et installations de production et de distribution (chauffage, climatisation, froid, équipements de cuisine, traitement de l’eau…)
   

  

 Maîtrise et optimise les consommations eau\\-énergie
   

  

 Veille au respect et à l’amélioration de la maintenance préventive et curative
   

  

 Veille au bon déroulement du programme d’entretien des chambres « PMP »
   

  

 S’assure de la pérennité de la qualité du produit
   

  

 Assure la coordination et le contrôle des activités des sociétés de sous\\-traitance
   

  

 Suit et respecte les méthodes, procédures et outils réglementaires en matière d’hygiène sanitaire, de sécurité incendie, de législation du travail…
   

  

 Participe et suit les budgets de maintenance
   

  

*La liste de ces tâches n’est pas exhaustive et peut être amenée à évoluer en fonction de l’organisation et des besoins de l’hôtel.*
 Cette description de poste définit les fonctions principales de Responsable Technique, cependant quelques modifications peuvent y être apportées sans en changer le caractère général du poste ou le niveau de responsabilité engagée.
   

  

 PROFIL RECHERCHÉ
   

  

**Profile**
 De formation technique électrique/mécanique et/ou gestion immobilière, vous avez une expérience réussie Responsable technique dans une plus petite structure. Vous êtes réactif(ve), organisé(e), rigoureux(se), ayant le sens du « terrain », disponible et à l’écoute ;Vous soutenez les projets de l’hôtel en étant garant(e) de la satisfaction de nos clients internes et externes. Rejoignez\\-nous !",Hospitality,https://fr.linkedin.com/company/mercure-hotel,https://media.licdn.com/dms/image/v2/D4E0BAQEK3wkvsVhkJA/company-logo_100_100/company-logo_100_100/0/1705677369235/mercure_hotel_logo?e=2147483647&v=beta&t=uRL3uF4L0QQ1lG-CjnmSQGxCvVAu9uN5d1ipODfr254,,,,,
li-4148267469,linkedin,https://www.linkedin.com/jobs/view/4148267469,https://www.aerocontact.com/emploi-aeronautique/controleur-qualite-aeronautique-fh~934384.html?fromref=linkedin&urlHash=xSlj,Contrôleur qualité aéronautique F/H - Synergie Paris Aéronautique,AEROCONTACT,"Creil, Hauts-de-France, France",2025-02-10,fulltime,,,,,,,mid-senior level,Quality Assurance,,,"Notre client à pour spécialité la conception et la production de systèmes électriques filaires, faisceaux et harnais complexes multi\\-connecteurs, la réalisation d'équipements électromécaniques, des opérations de surmoulage et des raccords.En tant que Technicien de Contrôle H/F à Creil ( 60\\) , vous serez directement rattaché(e) au responsable de votre service, dans ce cadre vous aurez pour principales missions : \\- Vérification complète des produits finis (fils, câbles, soudures, gaines, fonctionnement...) \\- Rédaction des Dossiers de Conformités sur l'ERP Silog \\- Réalisation des programmes de test \\- Contrôle électriques / dimensionnels des ensembles et sous ensemble filaires en production \\- Assistance au service Méthode pour la définition et la réalisation des interfaces de contrôle \\- Polyvalence atelier et service Méthode \\- Participation au développement du service contrôle (aménagement, systèmes de test ...) Type de contrat : CDI Salaire entre 25k et 30k maximum brut/an. \\-\\> Chèque déjeuner d'une valeur de 7 EUR par jour donc 140EUR par mois (pris en charge à 50% par l'employeur) \\-\\> CE \\-\\> Mutuelle pris en charge à 50% par l'employeur \\-\\> 13 \\-ème mois inclus dans le budget \\-\\> 35h horaire : 8h 16h30 du lundi au jeudi 8h 12h les vendredis
   

  

 Vous êtes diplômé en Électrotechnique ou Électronique ou programmation informatique. Vous maitrisez la lecture de plans techniques. Vous utilisez un ERP type SAP ou SILOG. Une expérience réussie en tant qu'opérateur de câblage filaire serait un atout. Le poste est ouvert aux débutants avec une première expérience en apprentissage. Vous êtes autonome, rigoureux (euse), logique, organisé (e) et vous avez l'esprit d'équipe alors rejoignez une entreprise dynamique en plein développement !",Staffing and Recruiting,https://fr.linkedin.com/company/aerocontact,https://media.licdn.com/dms/image/v2/C4D0BAQHCZ75udHXn9A/company-logo_100_100/company-logo_100_100/0/1630549641225/aerocontact_logo?e=2147483647&v=beta&t=NqR9i9CndqL2TpBSjZcVfzbQxVfJdMyqnTNXSI7eiRw,,,,,
li-4147037906,linkedin,https://www.linkedin.com/jobs/view/4147037906,https://www.energierecrute.com/emploi-energie/responsable-technique-etudes-assainissement-and-demantelement-fh~277224.html?fromref=linkedin&urlHash=aM4E,Responsable Technique Etudes Assainissement & Démantèlement F/H - orano,ENERGIE RECRUTE,"Massy, Île-de-France, France",2025-02-08,fulltime,,,,,,,not applicable,Engineering and Information Technology,,,"Le Responsable Technique pilote les sujets techniques de la Direction des Etudes et Innovations (DEI) de la Business Unit Orano Démantèlement et Service. Il est le manager fonctionnel et le coordinateur déquipes études pluridisciplinaires composées dingénieurs, de techniciens et dexperts. Il est chargé du périmètre études des projets, en binôme avec le Pilote de Programme , ou le Chef de Projet qui gère les aspects réalisation et chantier. Ses sujets peuvent porter sur des domaines tels que lexploitation des installations, le démantèlement, lassainissement, les travaux neufs, le développement technologique, la conception, la maintenance,  Le RT assure les missions suivantes :
   

  

* Il est responsable des aspects qualité, coût, délais, sureté, sécurité, pour le périmètre des études qu'il suit,
* Il reporte les indicateurs d'avancement coûts, délais et performance à sa direction, et aux responsables de ses sujets,
* Il s'assure de la performance de son équipe, de son organisation et des solutions techniques,
* Il veille à lapplication du référentiel technique de la DEI et applique les processus et les méthodologies associées. Il assure un suivi régulier des documents à produire, sur la base :
* De la relecture des documents par lui\\-même ou d'autres selon le champ de compétence,
* De l'émission de documents préliminaires en version « DRAFT » à partager dans ODS et éventuellement avec le client,
* De piloter les outils RT,
* De l'organisation à mettre en uvre pour assurer d'éventuelles reprises de commentaires. Il travaille avec les responsables de pôles et le planificateur (gestion de la charge / capacité et du gréement des équipes), Le RT doit être force de proposition auprès de ses équipes, de sa direction et des directions opérationnelles de la BU ODS. Les principaux clients sont : le CEA, EDF, Andra et les autres entités Orano, qui sont implantées en France et à linternational. Des déplacements ponctuels en France ou à l'étranger sont à prévoir.


 Le Responsable Technique pilote les sujets techniques de la Direction des Etudes et Innovations (DEI) de la Business Unit Orano Démantèlement et Service. Il est le manager fonctionnel et le coordinateur déquipes études pluridisciplinaires composées dingénieurs, de techniciens et dexperts. Il est chargé du périmètre études des projets, en binôme avec le Pilote de Programme , ou le Chef de Projet qui gère les aspects réalisation et chantier. Ses sujets peuvent porter sur des domaines tels que lexploitation des installations, le démantèlement, lassainissement, les travaux neufs, le développement technologique, la conception, la maintenance,  Le RT assure les missions suivantes :
   

  

* Il est responsable des aspects qualité, coût, délais, sureté, sécurité, pour le périmètre des études qu'il suit,
* Il reporte les indicateurs d'avancement coûts, délais et performance à sa direction, et aux responsables de ses sujets,
* Il s'assure de la performance de son équipe, de son organisation et des solutions techniques,
* Il veille à lapplication du référentiel technique de la DEI et applique les processus et les méthodologies associées. Il assure un suivi régulier des documents à produire, sur la base :
* De la relecture des documents par lui\\-même ou d'autres selon le champ de compétence,
* De l'émission de documents préliminaires en version « DRAFT » à partager dans ODS et éventuellement avec le client,
* De piloter les outils RT,
* De l'organisation à mettre en uvre pour assurer d'éventuelles reprises de commentaires. Il travaille avec les responsables de pôles et le planificateur (gestion de la charge / capacité et du gréement des équipes), Le RT doit être force de proposition auprès de ses équipes, de sa direction et des directions opérationnelles de la BU ODS. Les principaux clients sont : le CEA, EDF, Andra et les autres entités Orano, qui sont implantées en France et à linternational. Des déplacements ponctuels en France ou à l'étranger sont à prévoir. Adresse du poste : 25 RUE ALEXANDRA DAVID NEEL MASSY",Renewables & Environment,https://fr.linkedin.com/company/energierecrute,https://media.licdn.com/dms/image/v2/C4D0BAQHfZL252-MCNg/company-logo_100_100/company-logo_100_100/0/1631345967172?e=2147483647&v=beta&t=T_D7iEsShEjeNG1CB537gu8LpWVCcfK4JZhHstrAtxg,,,,,
