id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description
li-4144821815,linkedin,https://www.linkedin.com/jobs/view/4144821815,,Technical Manager Offshore - CDI - Paris - CDI - F/H,Q ENERGY,"Courbevoie, Île-de-France, France",2025-02-05,fulltime,,,,,,,mid-senior level,Engineering and Information Technology,,,"**Qui sommes\\-nous ?** 
  
   





 Q ENERGY France est un acteur majeur du marché des énergies renouvelables en France. Autrefois affiliée au groupe RES, l'entreprise œuvre depuis 25 ans dans le développement, la construction et l'exploitation de projets éoliens et photovoltaïques. 
 



 Aujourd'hui également positionnée sur le marché du stockage d'énergie, Q ENERGY poursuit son expansion vers de nouveaux domaines tels que l'hydrogène vert, afin de proposer des solutions intelligentes et complètes pour la production et la fourniture d'énergie durable en France. 
 



 L'entreprise compte plus de 260 collaborateurs et 7 agences sur le territoire ainsi qu'un siège social basé à Avignon. Q ENERGY France est une entreprise de la holding européenne Q ENERGY Solutions, créée en 2021 par Hanwha Solutions dans l'objectif de conduire à la prochaine génération de production d'énergie verte et flexible en Europe. Basée à Berlin, Q ENERGY Solutions est une société sœur de Q CELLS, fabricant de modules photovoltaïques reconnu à travers le monde. Les deux sociétés constituent la division Energie du groupe Hanwha Solutions, basé à Séoul. 
   





**Poste** 
  
 



 Au sein de l'équipe Offshore, vous serez responsable de la supervision technique des projets éolien offshore de QEF (et/ou du consortium auquel appartient QEF) lors des appels d'offre pour les projets Offshore en France.
   

 Vous coordonnez des contributions techniques et des activités de chaque phase du process d'appel d'offre.
 



  
 



**Missions** 



* Gestion Technique des Projets :


* Superviser les étapes de développement (design, approvisionnement, construction).


* Piloter les études techniques au niveau du consortium (conception, simulation, calculs).


* Garantir la conformité des projets aux normes techniques et réglementaires.


* Rechercher des solutions innovantes pour optimiser les coûts et les performances.


* Définir et piloter le plan industriel du projet


* Coordination et Leadership :


* Coordonner les équipes multidisciplinaires (ingénieurs, consultants, partenaires).


* Assurer le reporting technique auprès des parties prenantes.


* Identifier et gérer les risques techniques.


* Relations avec les Acteurs Externes :


* Interagir avec les fournisseurs et sous\\-traitants pour garantir la qualité et le respect des délais.


* Gérer les relations avec les autorités et les organismes de certification.



  
 



 En lien avec l'équipe de DEV Offshore,  
 


* Participer à la définition des stratégies des offres et des futurs projets ;


* Participation aux groupes de travail en lien avec la compétitivité et/ou l'attractivité des offres auprès des associations professionnelles et des services de l'Etat


* Soutien aux activités de Q ENERGY Europe dans les différents où la société développe des projets Offshore


* Reporting interne



  
 



 Communication 
 


* Représenter la société lors d'évènements publics


* Être force de proposition et contribuer à la stratégie de communication de la BU Offshore


* Veille concurrentielle



  
 



 Collaboration 
 


* S'impliquer dans les projets et dans le travail d'équipe


* Partage d'expérience avec les autres unités en France et en Europe



  
 



 QHSE 
 


* Participer à la définition des process offshore et des protocoles HSE


* Respect et mise en œuvre des procédures de sécurité et de qualité au sein de l'entreprise ;


* Participation à l'amélioration continue (Best Practices, Lessons Learned, Archiving, Process)


**Requirements**

**Profil :** 




 Issue d'une formation d'Ingénieur en génie civil, mécanique, électrique ou équivalent. Une spécialisation en énergies renouvelables est un plus.
   

 Vous avez plus de 3 ans d'expérience en Offshore et en gestion de projets techniques complexes.
   

  
   

 Bon.ne communicant.e vous appréciez le travail en équipe et les relations avec des acteurs externes. Pugnace et autonome, vous avez d'excellentes qualités relationnelles ainsi qu'une bonne perception des valeurs rurales. 
   

  
   

 Rigoureux.se, vous savez gérer vos priorités grâce à de réelles capacités d'analyses. 
   

  
   

 Le poste requiert un excellent rédactionnel en français et en anglais.
   

  

  




**Benefits**

**Comment faisons\\-nous la différence ?** 




  
 



 ·         Une cohésion d'équipe forte
 



 ·         Des valeurs fortes et incarnées
 



 ·         Un management de proximité
 



 ·         Une dynamique d'organisation apprenante
 



 ·         Une entreprise en constant développement
 



 ·         Valorisation et développement des compétences
 



  
 




 Nos avantages sociaux :
 




  
 



 ·         Flexibilité et bien\\-être : jusqu'à 2 jours de télétravail et flexibilité des horaires
 



 ·         4 Jours de congés par an offerts pour des actions de bénévolat
 



 ·         L'abondement de vos dons aux associations à hauteur de 500€ par an
 



 ·         Forfait mobilité durable pour les déplacements en mobilité douce (vélo...) ou en covoiturage et aides à l'écomobilité
 



 ·         Titres restaurants (9€ pris en charge à 50% par la société)
 



 ·         Activités ""bien\\-être"" et évènements régulièrement proposés par le CSE
 



  
 



 Nous concourrons à créer un environnement professionnel fondé sur le respect et la bienveillance, en réunissant des personnes d'horizons différents pour qu'elles nous apportent des idées novatrices et de nouvelles perspectives. Nous œuvrons à la réalisation de notre stratégie en matière de diversité et d'inclusion afin de garantir l'égalité des chances et nous accompagnons les parcours professionnels de toutes et tous.
 



  
 



 Q ENERGY France s'engage à examiner toutes candidatures à compétences égales.  Nous sommes soucieux d'adapter notre processus de recrutement et d'intégration aux personnes en situation de handicap.",Renewable Energy Semiconductor Manufacturing,https://de.linkedin.com/company/q-energy-solutions-se,https://media.licdn.com/dms/image/v2/D4D0BAQFlQt4J2EuFdA/company-logo_100_100/company-logo_100_100/0/1721721107829/q_energy_solutions_se_logo?e=2147483647&v=beta&t=VWg_Pv2IBdwrATMDAyD-XUADhCiehLFI24vdVNiEw-g,,,,,
li-4144377768,linkedin,https://www.linkedin.com/jobs/view/4144377768,https://careers.essilorluxottica.com/job-invite/870381/&urlHash=ugDh,Med-Tech Partnerships and Investments Manager,EssilorLuxottica,"Charenton-le-Pont, Île-de-France, France",2025-02-05,fulltime,,,,,,,mid-senior level,Finance and Project Management,,,"**Widen Your Horizons. Join the Next Chapter of Your Career** 




  





  

 At EssilorLuxottica, we are committed to empowering our people to grow and succeed. This is your opportunity to take your career to the next level, embrace new challenges, and continue making a difference
 



 .We work for a brighter future, thinking today about the world of tomorrow.
 



 ​Don’t miss the chance to shape your
 **\\#FutureInSigh** 
 t with us
 



  





**!
   

 Responsabilities**




  




* **:
   

 Relationship Buildi** 
 ng: Establish and maintain long\\-term, trustful relationships with targeted compani
* **es.Investment and Acquisition Sorti** 
 ng: Evaluate and sort solicitations for investments and acquisitio
* **ns.Strategic Analys** 
 is: Provide strategic analysis and assessment of potential value of potential targeted companies for the EssilorLuxottica group to support top management decision\\-maki
* **ng.Integration Mode** 
 ls: Develop custom integration models for key opportunities, leveraging all available means (internal development, partnerships, licensing, acquisitions, etc
* **.).Documentation Preparati** 
 on: Prepare necessary documentation to drive the approval process to the CEO of EssilorLuxotti
* **ca.Due Diligence Suppo** 
 rt: Assist with extended due diligence processes for compani
* **es.Deal Negotiati** 
 on: Support the negotiation of dea
* **ls.Pilot Suppo** 
 rt: Assist with technical, business, or clinical pilots with targeted compani
* **es.Internal Communicati** 
 on: Communicate progress on projects (acquisitions, investments, or partnerships) with all relevant parties, including business leaders, senior management, and R\\&



  





**;D.
   

 Candidate Profi**




  




* le :
   

 Experience: Minimum of 5 years of experience in strategic partnerships, investments, mergers and acquisitions, or a similar role within a corporate or consulting environ
* ment.Analytical Skills: Strong analytical and problem\\-solving skills with the ability to conduct thorough due diligence and strategic assessm
* ents.Communication Skills: Excellent written and verbal communication skills, with the ability to present complex information clearly and persuasively to senior management and stakehol
* ders.Relationship Management: Proven ability to build and maintain long\\-term, trustful relationships with external partners and internal stakehol
* ders.Negotiation Skills: Demonstrated experience in negotiating deals and managing complex transact
* ions.Project Management: Strong project management skills, with the ability to manage multiple projects simultaneously and meet deadl
* ines.Industry Knowledge: Knowledge of the eyewear, healthcare, or technology se



  




 ctors","Manufacturing, Pharmaceutical Manufacturing, and Climate Technology Product Manufacturing",https://fr.linkedin.com/company/essilorluxottica,https://media.licdn.com/dms/image/v2/C4D0BAQH_Sj9ZfN8pAQ/company-logo_100_100/company-logo_100_100/0/1642704101327/essilorluxottica_logo?e=2147483647&v=beta&t=xUXzBN-th6bqrHQdPlV3w32_qe94Vt5DaC0TS2oxDqg,,,,,
li-4144366070,linkedin,https://www.linkedin.com/jobs/view/4144366070,,Responsable Achats Techniques H/F,Kaufman and Broad,"Courbevoie, Île-de-France, France",2025-02-05,fulltime,,,,,,,mid-senior level,Purchasing,,,"**Rejoignez l’aventure Kaufman \\& Broad !**




 Vous souhaitez faire partie d’une équipe qui croit en la force de l'innovation, de la collaboration et de l'excellence ?
   

  





 En rejoignant notre entreprise, vous ferez partie d'une équipe motivée et orientée vers l'avenir, où les idées audacieuses sont encouragées et le potentiel individuel est valorisé.
   

  





 Notre entreprise s’est donnée pour mission de contribuer au développement de villes toujours plus vertueuses. Pour cela, nous sommes à la recherche de talents déterminés, prêts à relever des défis stimulants et à jouer un rôle majeur dans la transformation de l'habitat. Chez Kaufman \\& Broad, notre mantra est clair : « Bâtir c'est agir ! ». Nos équipes forment un collectif engagé au service de la ville, de la planète et de l’humain qui apporte des réponses concrètes aux besoins écologiques, sociaux et économiques. Nous nous engageons à créer un avenir durable en intégrant des pratiques responsables à chaque étape, de la conception à la réalisation.
   

  





 Si vous êtes prêt(e) à apporter votre expertise, votre créativité et votre engagement à une entreprise où chaque individu contribue à la réalisation de projets immobiliers d'envergure, rejoignez\\-nous ! Ensemble, construisons l'avenir.
   

  

  

  




**Description du poste**

 Sous l'autorité du Directeur Achats Techniques, vous êtes le garant du budget technique et du suivi financier des opérations.
   

  





 Vous lancez et opérez le suivi des appels d'offres tout en garantissant l'application de la politique achat du groupe.
   

  





 Vos missions seront les suivantes:
   

  





 \\- Suivi de l'évolution technico\\-économique des projets
   

  





 \\- Lancement et suivi des appels d'offres
   

  





 \\- Négociation des marchés de travaux afin de respecter le budget annoncé en amont
   

  





 \\- Etablissement des dossiers marchés
   

  





 \\- Transmission des dossiers finalisés aux équipes en charge des travaux
   

  





 \\- Mise à jour régulière du panel des fournisseurs et des ratios de coûts techniques en fin d’opérations
   

  

  

  




**Qualifications**

 Issu(e) d’une formation supérieure type Ingénieur ou en Economie de la construction, vous justifiez d’une expérience de 3 à 5 ans sur un poste similaire acquise chez un promoteur immobilier ou en entreprise générale.
   

  





 Vous maitrisez les outils bureautiques (en particulier Excel) et les ERP.
   

  





 Vous êtes rigoureux, organisé, autonome et avez un sens aiguisé de la négociation.
   

  





 Vous aimez évoluer dans un environnement dynamique, vous investir au sein d’une équipe et avoir la possibilité de travailler sur des projets d’envergure et diversifiés.
   

  

  

  




**Informations supplémentaires**

 Au\\-delà d’un environnement de travail stimulant et collaboratif, rejoindre Kaufman \\& Broad c’est également bénéficier de multiples avantages destinés à enrichir votre expérience professionnelle et votre qualité de vie :
   

  




* Politique d’accompagnement et de formation par filière métier
* Charte de télétravail
* Attribution d’actions gratuites : 100% des collaborateurs sont actionnaires de l’entreprise
* Dispositifs d’épargne salariale : Plan Épargne Entreprise avec abondement de l’employeur, intéressement et participation
* Une couverture sociale complète (mutuelle / prévoyance)
* Opportunités de mobilité interne et géographique
* Offres préférentielles pour l’achat d’un logement Kaufman \\& Broad
* Avantages du CSE
* Remboursement des transports en commun, ou pack mobilité (selon le poste occupé)
* Tickets Restaurant ou participation au restaurant d’entreprise (selon les postes et le lieu géographique)



 Chez Kaufman \\& Broad, nous croyons en la mixité des talents. Dans le cadre de notre politique diversité, nous étudions, à compétences égales, toutes les candidatures avec la même attention reflétant ainsi notre engagement envers l'égalité des chances.",Real Estate,https://fr.linkedin.com/company/kaufman-and-broad,https://media.licdn.com/dms/image/v2/C4E0BAQGip1pmuFe52g/company-logo_100_100/company-logo_100_100/0/1672842717888/kaufman_and_broad_logo?e=2147483647&v=beta&t=SJ_g6SmoDaCgn_IN-8CCu9D0h7XZBN-OBQ508y8KcZU,,,,,
li-4143372776,linkedin,https://www.linkedin.com/jobs/view/4143372776,https://vinci-groupe.profils.org/Pages/Offre/detailoffre.aspx?idOffre=106987&idOrigine=2353&LCID=1036&offerReference=2025-106987&urlHash=A81D,PFE - Le Bureau d'Etudes de demain F/H,Eurovia,"Saint-Quentin-en-Yvelines, Île-de-France, France",2025-02-05,fulltime,,,,,,,internship,Administrative,,,"VINCI Construction est l'un des principaux acteurs français de la construction d'infrastructures de transport et des aménagements urbains. Nos équipes réalisent et maintiennent des infrastructures de transport et interviennent dans l'aménagement de sites industriels, commerciaux et urbains. Grâce à son réseau industriel – production de granulats et de matériaux pour la route et les voies ferroviaires – VINCI Construction maîtrise sa chaîne d'approvisionnement.
   

  

**Vinci Construction – Division Route France recherche des stagiaires en PFE au sein de la délégation Ile\\-de\\-France / Normandie.**
**Partenaire des territoires, la division Route France de VINCI CONSTRUCTION développe des solutions de mobilité pour améliorer la compétitivité économique et renforcer le lien social, par la conception, la construction et l’entretien des infrastructures de transport et des aménagements urbains.**
**Notre Délégation** 
 : un réseau qui s’appuie sur plus de 30 agences travaux, 60 sites industriels (centrales d’enrobés et carrières), et sur le savoir\\-faire de 4 500 collaborateurs.
   

  

**Missions** 
 : Ton apprentissage se réalisera sur un ou plusieurs chantiers de l’une de nos agences travaux.
   

  

 Participe à la transformation des infrastructures de demain !
   

  

 Rattaché(e) au Responsable du Bureau d’études de l’agence, tu imagineras un nouveau mode d’appréhension des réponses aux appels d’offres.
   

  

 Cette mission te donnera l'opportunité de mener un projet à responsabilité en grande autonomie et d'en appréhender les problématiques.
   

  

 La réalisation de ce projet permettra à Eurovia de généraliser cette nouvelle méthode de travail.
   

  

 Tout au long de ton stage, tu assureras les missions suivantes :
   

  

* Définir les moyens Humains, matériels et technologiques qu'il faudra mettre à disposition au Bureau d'études
* Réaliser un dossier d’appel d’offres avec ce logiciel (exemple)
* Mettre en place une formation pour son utilisateur


 Tu es en dernière année d'école d'ingénieur ou en Master 2 Travaux Publics ou Génie Civil ?
   

  

 Tu recherches un PFE qui te fera entrer dans la vie professionnelle ?
   

  

 Tu es dynamique, autonome et tu aimes travailler en équipe et sur le terrain ?
   

  

 Alors n’attends plus, ce poste est fait pour toi ! 😊
   

  

**Conditions De Stage**
 Lieu de stage :
 **Eurovia Saint\\-Quentin\\-en\\-Yvelines** 
 (78\\)
   

  

 Durée de stage : 4 à 6 mois
   

  

 Tout au long de ton apprentissage, tu découvriras plusieurs chantiers, le permis est donc fortement apprécié !
   

  

**Equipe/Encadrement**
* Chef d'agence
* Chef de secteur
* Responsable Bureau d'Etudes",Construction,https://fr.linkedin.com/company/euroviafrance,https://media.licdn.com/dms/image/v2/D4E0BAQGP_YNHE9zgvg/company-logo_100_100/company-logo_100_100/0/1665674826004/euroviafrance_logo?e=2147483647&v=beta&t=TgVgkq2Mv9mzjK2NQLT6qUrvnb3IeGNnS70of1QmSNg,,,,,
li-4141695665,linkedin,https://www.linkedin.com/jobs/view/4141695665,https://emploi.lagazettedescommunes.com/offre-emploi/offre-emploi-charge-de-travaux-responsable-technique-du-parc-andre-malraux-h-f-o-4218743&urlHash=-DGQ,Chargé de travaux - Responsable technique du Parc André Malraux (H/F),La Gazette des communes,"Boulogne-Billancourt, Île-de-France, France",2025-02-04,fulltime,,,,,,,mid-senior level,Engineering and Information Technology,,,"**Pourquoi nous rejoindre ?**
 Le Département Place Au Cœur De Ses Engagements Employeur L’épanouissement De Ses Agents Et Le Respect De L’équilibre Entre Vie Professionnelle Et Vie Privée. Rejoindre Le Département Des Hauts\\-de\\-Seine, C’est Faire Le Choix D’une Collectivité De 4 700 Agents Représentant Plus De 150 Métiers, Où Il Fait Bon Travailler En Bénéficiant
   

  

* de beaux projets pour construire l’avenir du Département
* d’un cadre de travail moderne et propice au bien être
* d’une organisation du travail pour un équilibre vie pro/vie perso
* d’une politique salariale attractive
* d’opportunités de carrière et de formation pour évoluer
* d’un soutien à la parentalité


 Et si, vous aussi, vous conciliiez épanouissement et projets professionnels ?
   

  

 ,
   

  

 Au sein du pôle attractivité, culture et territoire, la direction de la nature et des paysages agit pour la transition écologique et la préservation du patrimoine naturel des Hauts\\-de\\-Seine.
   

  

 Paysagistes, jardiniers, agents d'accueil, arboristes, écologues, organisateurs d'événements, agents administratifs… travaillent ensemble et innovent pour améliorer le bien\\-être des Alto\\-Séquanais. Ils mettent en œuvre une stratégie « Nature » ambitieuse qui vise à permettre à tous les habitants de disposer d’un espace de nature de qualité à moins de 15 minutes à pied de leur domicile et qui prévoit la création de nouveaux parcs dans les prochaines années.
   

  

 Dotées de moyens à la hauteur des exigences, les équipes déploient des stratégies de gestion et d’aménagement réinventées dans un contexte sociétal et environnemental en mutation.
   

  

 16 millions de visiteurs sont accueillis chaque année dans les espaces de nature des Hauts\\-de\\-Seine, et plus de 300 manifestations y sont organisées.
   

  

 En rejoignant le Département, vous mettrez en œuvre vos compétences et votre talent au service d’une collectivité territoriale solidaire et innovante.
   

  

**Votre Rôle**
 Au sein de cette Direction, le service des Parcs et Promenades est un service technique opérationnel dont les principales missions sont d’entretenir et de valoriser nos espaces naturels et liaisons vertes, au travers de projets assurant l’accueil qualitatif du public, la préservation d’un patrimoine historique et paysager d’exception, l’enrichissement de la biodiversité, dans un contexte de transition écologique où sobriété doit rimer avec innovation.
   

  

 En tant que Chargé de travaux \\- Responsable technique du Parc Départemental André Malraux, vous assurez la gestion technique, environnementale et financière du site.
   

  

**Vos Missions**
* Programmer, suivre l'exécution et contrôler la conformité des travaux, élaborer des aménagements spécifiques en cohérence avec le schéma directeur et le plan de gestion paysager
* Assurer le suivi des activités administratives et financières : participer à la préparation des étapes budgétaires, suivre les budgets de fonctionnement et d’investissement, rédiger les documents administratifs (plans de prévention, comptes rendus, réception de chantiers) et participer à la mise en œuvre du Document Unique lié aux interventions des entreprises extérieures
* Dans le cadre des activités en lien avec l'environnement : assurer le suivi du référentiel label EVE® lors des interventions des entreprises, participer à l’élaboration et au pilotage du renouvellement du plan de gestion paysager du parc
* Pour garantir une organisation optimale de l'unité, assurer l’intérim du responsable technique de la Promenade Jacques Baumel et du parc de la Folie Sainte\\-James et accompagner le surveillant de travaux du parc dans l'exercice de ses fonctions.


**Sujétions Particulières**
 Permis B exigé
   

  

 ,
   

  

 Technicien territorial titulaire ou contractuel avec expérience en aménagement paysager
   

  

 Connaissances de l’environnement institutionnel des collectivités territoriales,
   

  

 Connaissances approfondies en arboriculture, botanique, méthodes de gestion écologiques et d’entretien des espaces verts
   

  

 Connaissances administratives des marchés publics et du budget d'une collectivité territoriale
   

  

 Très bonnes connaissances en gestion et planification de chantier, maitrise des outils informatiques du Pack Office
   

  

 Maitrise de l’aspect sécurité et bonne tenue des chantiers
   

  

 Bonnes capacités rédactionnelles et d'analyse
   

  

 Bonnes qualités relationnelles, capacité à négocier, dialoguer, écouter, et rendre compte
   

  

 ,
   

  

 Candidatez via le bouton POSTULER
   

  

 VOTRE LIEU DE TRAVAIL
   

  

 Parc André Malraux \\- 39, avenue Pablo\\-Picasso \\- 92000 Nanterre",Newspaper Publishing,https://fr.linkedin.com/company/la-gazette-des-communes,https://media.licdn.com/dms/image/v2/C4E0BAQE40tbDM2906g/company-logo_100_100/company-logo_100_100/0/1630606010496/la_gazette_des_communes_logo?e=2147483647&v=beta&t=Idv9oHxbAP12zvNUr31tKGbcLHKTomdd7K1xA7XPctg,,,,,
